sample_group,strategy_id,ma_period,threshold,horizon,date_count,mean_daily_return,median_daily_return,positive_date_fraction
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge2,5d,35,-0.1151494104016664,-0.1494720657380278,0.17142857142857143
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,60m,24,-0.028287290949632254,-0.01481048771699342,0.3333333333333333
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,1d,24,-0.06574589536820889,-0.09935993928925502,0.2916666666666667
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge3,5d,24,-0.12206422031733828,-0.16201305819000134,0.20833333333333334
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,60m,16,-0.041931381916191085,-0.017691741980021658,0.25
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,1d,16,-0.08251158963985306,-0.11918839341477844,0.25
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge4,5d,16,-0.1502331377489985,-0.19021637560398302,0.1875
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,60m,9,-0.06391389799962968,-0.045683777698687034,0.1111111111111111
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,1d,9,-0.09872454748206498,-0.1356621591925442,0.2222222222222222
primary_development_2022_2023_partial,fu_r3_core_pullback,10,ge5,5d,9,-0.14305241519652778,-0.20076054309472402,0.2222222222222222
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,60m,199,-0.0028809523708519277,-0.0025750825371154322,0.20603015075376885
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,1d,199,-0.0014051131673059485,0.0002595648458587769,0.507537688442211
primary_development_2022_2023_partial,fu_r3_core_pullback,20,all,5d,199,8.489639916150804e-05,0.0025734034189484954,0.5276381909547738
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,60m,23,-0.012372322527015893,-0.010878900777568812,0.30434782608695654
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,1d,23,-0.017143362873739736,-0.017585952782810943,0.391304347826087
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge1,5d,23,-0.015563921336966314,-0.016566071084212264,0.4782608695652174
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge2,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge3,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge4,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,20,ge5,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,60m,199,-0.0027157520893683683,-0.0025546220368762094,0.21105527638190955
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,1d,199,-0.0010930432304620307,0.0002806096945802891,0.5175879396984925
primary_development_2022_2023_partial,fu_r3_core_pullback,40,all,5d,199,0.0005754453467913881,0.002067160815078782,0.5477386934673367
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,60m,30,-0.00815500519725926,-0.004583587811277249,0.36666666666666664
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,1d,30,-0.009831891996142095,-0.0008937124050891936,0.5
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge1,5d,30,-0.018242926667852103,-0.0018107473541865704,0.5
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge2,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge3,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge4,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,40,ge5,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,60m,199,-0.0028032849339861047,-0.002616912794868122,0.22110552763819097
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,1d,199,-0.0012035869001827714,0.00011353733396551012,0.507537688442211
primary_development_2022_2023_partial,fu_r3_core_pullback,60,all,5d,199,0.0008267510408841876,0.0033274265203635826,0.5577889447236181
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,60m,42,-0.0076958042506908445,-0.005165012920917583,0.3333333333333333
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,1d,42,-0.00718829037483952,-0.001052548431242059,0.5
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge1,5d,42,-0.01242860605535204,-0.012589172309417484,0.40476190476190477
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,60m,3,0.01117434292561248,0.020811031591155604,0.6666666666666666
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,1d,3,0.006690301663837846,0.009657269278503078,0.6666666666666666
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge2,5d,3,-0.01844171772915663,-0.08328189358395333,0.3333333333333333
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge3,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge4,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,60,ge5,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,60m,199,-0.002679651256441713,-0.0018104218969946745,0.2613065326633166
