top_k,policy_name,policy_kind,fixed_day,mean_selected_return,median_selected_return,mean_resolved_day,mean_absolute_unit_time_efficiency,mean_relative_unit_time_alpha,median_absolute_unit_time_efficiency,positive_absolute_day_rate,positive_relative_alpha_day_rate,signal_date_count,absolute_rank_all,relative_alpha_rank_all,absolute_rank_within_top_k,relative_alpha_rank_within_top_k
1,fixed_d48,fixed,48.0,0.12368326084490137,0.0614640648592827,48.10220994475138,0.4558444285839183,0.36746207167991785,0.32120373469754415,0.6423658872077029,0.5969738651994498,727,126,132,48,49
3,fixed_d44,fixed,44.0,0.09889877918338166,0.0598790619468326,44.058917927556166,0.45566412167944553,0.36829202466215594,0.3330684521865824,0.6850068775790922,0.657496561210454,727,127,130,41,43
3,fixed_d42,fixed,42.0,0.09385769898095483,0.0581404044347048,42.062127464465846,0.4548199580293105,0.36820841162780577,0.3390781922187716,0.6822558459422283,0.6492434662998624,727,128,131,42,44
3,fixed_d3,fixed,3.0,0.0061086994266796,0.0058823108091317,3.013755158184319,0.45329816604367157,0.6346331075474245,0.49266651560604724,0.5598349381017882,0.5735900962861072,727,129,26,43,2
3,fixed_d47,fixed,47.0,0.10598834304857448,0.0605012407209389,47.060981201283816,0.45310509403534516,0.36478854848628933,0.3149553100063897,0.687757909215956,0.6629986244841816,727,130,134,44,46
3,fixed_d41,fixed,41.0,0.0911500168193909,0.0585933544929115,41.06694176983036,0.453019107720738,0.3668715103695989,0.34997884638288124,0.6740027510316369,0.6533700137551581,727,131,133,45,45
3,fixed_d46,fixed,46.0,0.10327457853874904,0.0580656781229726,46.05868867491976,0.45222240712596945,0.36414722496643237,0.30920624132267166,0.6905089408528198,0.6588720770288858,727,132,135,46,47
3,fixed_d45,fixed,45.0,0.10076730010920106,0.0602514850351243,45.060981201283816,0.4516494866616731,0.36390179480940316,0.32763432809953114,0.6905089408528198,0.657496561210454,727,133,136,47,48
3,fixed_d48,fixed,48.0,0.10797639991697636,0.0656921911827903,48.06075194864741,0.45007367373221707,0.36155577259575206,0.33402879725949053,0.6822558459422283,0.6671251719394773,727,134,137,48,49
2,fixed_d39,fixed,39.0,0.08856486731808463,0.0506896670706827,39.09422283356258,0.4468592894330436,0.3613405659962524,0.31950223416713747,0.6533700137551581,0.624484181568088,727,135,138,39,40
3,fixed_d49,fixed,49.0,0.10908772114253087,0.0697707276591056,49.06327372764787,0.4427298481437763,0.35417225437972333,0.3467888858610397,0.6781292984869326,0.6643741403026134,727,136,141,49,50
2,fixed_d44,fixed,44.0,0.09928543876802319,0.059222957906394,44.07427785419532,0.4422135948746532,0.3548609594238004,0.3295219623414266,0.6616231086657497,0.6382393397524071,727,137,139,40,41
2,fixed_d45,fixed,45.0,0.10173268738894103,0.0626442074541369,45.077716643741404,0.44206571902200453,0.3543373912030949,0.340257888708602,0.6657496561210454,0.6396148555708391,727,138,140,41,42
2,fixed_d47,fixed,47.0,0.10660540897678335,0.0617782953084199,47.06740027510316,0.441522069310001,0.353223735893702,0.32140798224774053,0.6795048143053645,0.6368638239339752,727,139,142,42,43
1,fixed_d49,fixed,49.0,0.1235116662605996,0.0602966965082005,49.08701657458563,0.4413356487631535,0.35302375221441823,0.3049053165991681,0.6341127922971114,0.5900962861072903,727,140,144,49,50
2,fixed_d46,fixed,46.0,0.10391824823214839,0.0648202844607225,46.07152682255846,0.44089963331557275,0.3528436102407981,0.34406786000147355,0.6740027510316369,0.6437414030261348,727,141,145,43,45
2,fixed_d43,fixed,43.0,0.09667196315424606,0.0647858464512571,43.07634112792297,0.4400193891056595,0.3530708701004905,0.36788305443883496,0.6506189821182944,0.6299862448418156,727,142,143,44,44
2,fixed_d40,fixed,40.0,0.08881082741269772,0.0574741750665194,40.08528198074278,0.43751026882122906,0.351854724911288,0.3520642286651165,0.657496561210454,0.6341127922971114,727,143,146,45,46
2,fixed_d48,fixed,48.0,0.10809201963864493,0.067633334641725,48.06327372764787,0.43741185750923034,0.3489116625552183,0.34358290032399746,0.672627235213205,0.6451169188445667,727,144,148,46,48
2,fixed_d41,fixed,41.0,0.09083509463561262,0.0580438788567996,41.077716643741404,0.4358126284436514,0.3496860254412343,0.3467876855093742,0.6533700137551581,0.6327372764786795,727,145,147,47,47
2,fixed_d42,fixed,42.0,0.09310922989298835,0.059837009849296,42.07496561210454,0.43543729409370074,0.34884590800406073,0.34869079204750736,0.6533700137551581,0.6272352132049519,727,146,149,48,49
