变更日期,证券代码,证券简称,变更前全称,变更后全称
2001-12-28,000688,国城矿业,重庆朝华科技股份有限公司,朝华科技(集团)股份有限公司
2002-01-07,000757,浩物股份,四川峨眉柴油机股份有限公司,四川方向光电股份有限公司
2002-01-15,000503,国新健康,海南海虹企业(控股)股份有限公司,海虹企业(控股)股份有限公司
2002-03-12,000753,漳州发展,福建双菱集团股份有限公司,福建闽南（漳州）经济发展股份有限公司
2002-03-26,000558,天府文旅,沈阳房天股份有限公司,莱茵达置业股份有限公司
2002-04-05,000046,*ST泛海,光彩建设股份有限公司,光彩建设集团股份有限公司
2002-04-16,000810,创维数字,四川锦华股份有限公司,华润锦华股份有限公司
2002-04-18,000985,大庆华科,大庆华科(集团)股份有限公司,大庆华科股份有限公司
2002-05-27,000552,甘肃能化,甘肃长风宝安实业股份有限公司,甘肃长风特种电子股份有限公司
2002-05-31,000598,兴蓉环境,蓝星清洗剂股份有限公司,蓝星清洗股份有限公司
2002-06-06,000547,航天发展,福建省福发集团股份有限公司,神州学人集团股份有限公司
2002-06-21,000639,ST西王,株洲庆云发展股份有限公司,湖南金德发展股份有限公司
2002-07-02,000417,合百集团,合肥百货大楼股份有限公司,合肥百货大楼集团股份有限公司
2002-07-11,000910,大亚圣象,江苏大亚新型包装材料股份有限公司,大亚科技股份有限公司
2002-07-12,000014,沙河股份,华源实业(集团)股份有限公司,沙河实业股份有限公司
2002-07-18,200030,富奥B,深圳市莱英达集团股份有限公司,广东盛润集团股份有限公司
2002-07-18,000030,富奥股份,深圳市莱英达集团股份有限公司,广东盛润集团股份有限公司
2002-07-23,000411,英特集团,杭州凯地丝绸股份有限公司,浙江英特集团股份有限公司
2002-08-09,000599,青岛双星,青岛双星鞋业股份有限公司,青岛双星股份有限公司
2002-08-28,000889,中嘉博创,秦皇岛华联商城控股股份有限公司,秦皇岛渤海物流控股股份有限公司
2002-09-23,000975,山金国际,重庆乌江电力股份有限公司,南方科学城发展股份有限公司
2002-10-24,000059,华锦股份,深圳辽河通达化工股份有限公司,辽宁华锦通达化工股份有限公司
2002-10-25,000585,东电退,东北输变电机械制造股份有限公司,东北电气发展股份有限公司
2002-11-21,000882,华联股份,中商股份有限公司,北京华联商厦股份有限公司
2002-11-28,000526,学大教育,厦门旭飞实业股份有限公司,厦门好时光实业股份有限公司
2002-12-25,000586,汇源通信,四川省长江企业(集团)股份有限公司,四川汇源光通信股份有限公司
2002-12-31,000835,长动退,北京隆源双登实业股份有限公司,上海隆源双登实业股份有限公司
2003-01-08,000502,绿景退,海南新能源股份有限公司,恒大地产股份有限公司
2003-01-15,000616,*ST海投,大连渤海饭店(集团)股份有限公司,大连亿城集团股份有限公司
2003-01-27,000611,天首退,内蒙古民族实业集团股份有限公司,内蒙古时代科技股份有限公司
2003-02-10,000153,丰原药业,安徽新力药业股份有限公司,安徽丰原药业股份有限公司
2003-02-19,000739,普洛药业,青岛东方集团股份有限公司,青岛普洛股份有限公司
2003-03-03,000927,中国铁物,天津汽车夏利股份有限公司,天津一汽夏利汽车股份有限公司
2003-03-12,200054,建车B,深圳北方建设摩托车股份有限公司,重庆建设摩托车股份有限公司
2003-03-12,000592,平潭发展,福建省中福实业股份有限公司,福建省昌源投资股份有限公司
2003-04-08,000760,斯太退,湖北车桥股份有限公司,湖北博盈投资股份有限公司
2003-04-08,000693,华泽退,成都聚友泰康网络股份有限公司,成都聚友网络股份有限公司
2003-06-09,000048,京基智农,深圳市康达尔(集团)股份有限公司,深圳市康达尔（集团）股份有限公司
2003-06-13,000711,ST京蓝,黑龙江龙发股份有限公司,黑龙江天伦置业股份有限公司
2003-07-04,000635,英 力 特,宁夏宁河民族化工股份有限公司,宁夏英力特化工股份有限公司
2003-07-31,000669,ST金鸿,吉林中讯科技发展股份有限公司,吉林领先科技发展股份有限公司
2003-08-01,000722,湖南发展,衡阳市金果农工商实业股份有限公司,湖南金果实业股份有限公司
2003-08-05,000667,ST美置,云南华一投资集团股份有限公司,名流置业集团股份有限公司
2003-08-12,000532,华金资本,珠海华电股份有限公司,力合股份有限公司
2003-08-19,000593,德龙汇能,成都华联商厦股份有限公司,四川宝光药业科技开发股份有限公司
2003-08-28,000517,荣安地产,宁波成功信息产业股份有限公司,成功信息产业（集团）股份有限公司
2003-08-29,000656,金科股份,重庆东源钢业股份有限公司,重庆东源产业发展股份有限公司
2003-09-15,000851,*ST高鸿,贵州中国第七砂轮股份有限公司,大唐高鸿数据网络技术股份有限公司
2003-09-17,000063,中兴通讯,深圳市中兴通讯股份有限公司,中兴通讯股份有限公司
2003-09-30,001696,宗申动力,成都宗申联益实业股份有限公司,成都宗申热动力机械股份有限公司
2003-10-24,200012,南  玻Ｂ,中国南玻科技控股(集团)股份有限公司,中国南玻集团股份有限公司
2003-10-24,000012,南  玻Ａ,中国南玻科技控股(集团)股份有限公司,中国南玻集团股份有限公司
2003-11-10,000826,*ST启环,国投原宜实业股份有限公司,国投资源发展股份有限公司
2003-12-29,000545,金浦钛业,吉林恒和制药股份有限公司,吉林制药股份有限公司
2003-12-30,000670,盈方微,湖北天发股份有限公司,天发石油股份有限公司
2004-01-06,000036,华联控股,深圳市华联控股股份有限公司,华联控股股份有限公司
2004-01-08,000100,TCL科技,TCL 集团股份有限公司,TCL集团股份有限公司
2004-02-02,000695,滨海能源,天津灯塔涂料股份有限公司,天津滨海能源发展股份有限公司
2004-02-12,000426,兴业银锡,赤峰富龙热力股份有限公司,赤峰大地基础产业股份有限公司
2004-02-12,000951,中国重汽,山东小鸭电器股份有限公司,中国重型汽车集团济南卡车股份有限公司
2004-02-13,000828,东莞控股,广东福地科技股份有限公司,东莞发展控股股份有限公司
2004-02-16,200168,*ST舜喆B,广东雷伊股份有限公司,广东雷伊（集团）股份有限公司
2004-03-10,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,中兴_沈阳商业大厦(集团)股份有限公司
2004-03-12,000566,海南海药,海南轻骑海药股份有限公司,海南海药股份有限公司
2004-03-19,000671,ST阳光城,福建省石狮新发股份有限公司,福建阳光实业发展股份有限公司
2004-03-23,000549,S 湘火炬,湘火炬投资股份有限公司,湘火炬汽车集团股份有限公司
2004-03-25,000715,中兴商业,中兴_沈阳商业大厦(集团)股份有限公司,中兴-沈阳商业大厦(集团)股份有限公司
