sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_2d,100000.0,41084.2451999029,69900.930419967,-0.3009906958,-0.3532470195,1575804,595,590,1572511,5,2698,588,0.4149659864,-0.0026721659,0,2,0,28816.6852200641,"[{'year': 2022, 'net_return': -0.3074122116, 'maximum_drawdown': -0.3532470195}, {'year': 2023, 'net_return': 0.0092717716, 'maximum_drawdown': -0.3195839275}]",0,0,0,588,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_3d,100000.0,125015.777096324,125015.777096324,0.250157771,-0.2239735377,1575804,557,555,1572557,2,2690,555,0.445045045,0.0025319525,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.0276254465, 'maximum_drawdown': -0.2239735377}, {'year': 2023, 'net_return': 0.2856751202, 'maximum_drawdown': -0.0554378549}]",0,0,0,555,0,True,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_5d,100000.0,59162.2092832613,85374.1989254503,-0.1462580107,-0.3365475829,1575804,242,241,1572897,1,2665,239,0.4644351464,-0.0009293132,0,2,0,26211.9896421889,"[{'year': 2022, 'net_return': -0.2182622759, 'maximum_drawdown': -0.3365475829}, {'year': 2023, 'net_return': 0.0921079577, 'maximum_drawdown': -0.2716849669}]",0,0,0,239,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,100000.0,38353.9590205457,53683.9096284484,-0.4631609037,-0.5094969382,1575804,695,689,1572236,6,2873,688,0.4273255814,-0.0042992345,4,1,0,15329.9506079027,"[{'year': 2022, 'net_return': -0.3812035612, 'maximum_drawdown': -0.4335011942}, {'year': 2023, 'net_return': -0.1324463708, 'maximum_drawdown': -0.5094969382}]",4,237,34,260,157,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,100000.0,26239.6884026853,54679.2477377295,-0.4532075226,-0.4669705836,2426418,995,987,2421402,8,4021,985,0.4345177665,-0.0034437285,0,2,0,28439.5593350442,"[{'year': 2022, 'net_return': -0.4138479694, 'maximum_drawdown': -0.4322238624}, {'year': 2023, 'net_return': -0.0671490521, 'maximum_drawdown': -0.4669705836}]",0,376,74,266,269,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,100000.0,62670.4068907284,62670.4068907284,-0.3732959311,-0.4365465611,2426418,573,566,2421345,7,4500,566,0.4575971731,-0.0044393676,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3657803575, 'maximum_drawdown': -0.3878544026}, {'year': 2023, 'net_return': -0.0118501117, 'maximum_drawdown': -0.4365465611}]",0,211,0,193,162,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_1d,100000.0,32332.897816095,57025.4892947883,-0.4297451071,-0.4450662958,2426418,1264,1252,2421529,12,3625,1250,0.4152,-0.0024959081,1,2,0,24692.5914786933,"[{'year': 2022, 'net_return': -0.4038502253, 'maximum_drawdown': -0.418837209}, {'year': 2023, 'net_return': -0.0434368725, 'maximum_drawdown': -0.4450662958}]",1,0,0,1250,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_2d,100000.0,58306.1868230973,78219.2906130403,-0.2178070939,-0.2804398123,2426418,702,697,2421714,5,4002,696,0.4353448276,-0.0018561179,2,1,0,19913.103789943,"[{'year': 2022, 'net_return': -0.2382669212, 'maximum_drawdown': -0.2633442614}, {'year': 2023, 'net_return': 0.0268595758, 'maximum_drawdown': -0.2804398123}]",2,0,0,696,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_3d,100000.0,39439.9970101056,79126.8867922564,-0.2087311321,-0.2884786847,2426418,411,408,2421953,3,4054,406,0.4482758621,-0.0030180838,0,2,0,39686.8897821508,"[{'year': 2022, 'net_return': -0.1864765644, 'maximum_drawdown': -0.275690641}, {'year': 2023, 'net_return': -0.0273557794, 'maximum_drawdown': -0.2884786847}]",0,0,0,406,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_5d,100000.0,83005.7247669192,83005.7247669192,-0.1699427523,-0.3533987247,2426418,336,335,2422128,1,3954,335,0.4776119403,-0.0019364826,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.2522084441, 'maximum_drawdown': -0.3533987247}, {'year': 2023, 'net_return': 0.110011528, 'maximum_drawdown': -0.2581408552}]",1,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,100000.0,40014.7543317888,79332.4215670477,-0.2066757843,-0.3658222177,2426418,783,776,2421316,7,4319,775,0.4477419355,-0.0037878546,0,1,0,39317.6672352589,"[{'year': 2022, 'net_return': -0.2835995247, 'maximum_drawdown': -0.3658222177}, {'year': 2023, 'net_return': 0.1073753341, 'maximum_drawdown': -0.3396355112}]",0,276,43,268,188,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,100000.0,33030.9504431436,49999.0334470962,-0.5000096655,-0.5080281836,1702966,1157,1146,1699476,11,2333,1145,0.4227074236,-0.0034425809,17,1,0,16968.0830039526,"[{'year': 2022, 'net_return': -0.448633092, 'maximum_drawdown': -0.4678185311}, {'year': 2023, 'net_return': -0.0931803718, 'maximum_drawdown': -0.5080281836}]",17,456,94,234,361,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,100000.0,50602.9255227208,61702.9255227208,-0.3829707448,-0.4558608719,1702966,535,533,1699734,2,2697,532,0.4436090226,-0.0036759751,0,1,0,11100.0,"[{'year': 2022, 'net_return': -0.3513652609, 'maximum_drawdown': -0.4558608719}, {'year': 2023, 'net_return': -0.0487261659, 'maximum_drawdown': -0.4359136112}]",0,214,0,139,179,False,False
