sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
supplemental_2023_09_legacy,ng_r3_volume_quality,120,15179,20,2206,niu_ge_xun_shi,NG-R3,牛哥寻势,False
supplemental_2023_09_legacy,ng_r3_volume_quality,240,10209,20,1667,niu_ge_xun_shi,NG-R3,牛哥寻势,False
supplemental_2023_09_legacy,s0_distance_only,10,107398,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s0_distance_only,20,80921,20,3048,,,rule_or_control,False
supplemental_2023_09_legacy,s0_distance_only,40,56678,20,3041,,,rule_or_control,False
supplemental_2023_09_legacy,s0_distance_only,60,47562,20,2988,,,rule_or_control,False
supplemental_2023_09_legacy,s0_distance_only,120,32107,20,2390,,,rule_or_control,False
supplemental_2023_09_legacy,s0_distance_only,240,21536,20,1847,,,rule_or_control,False
supplemental_2023_09_legacy,s0_liquidity_matched,10,1060771,20,3047,,,rule_or_control,True
supplemental_2023_09_legacy,s0_liquidity_matched,20,816888,20,3047,,,rule_or_control,True
supplemental_2023_09_legacy,s0_liquidity_matched,40,605657,20,3047,,,rule_or_control,True
supplemental_2023_09_legacy,s0_liquidity_matched,60,523784,20,3047,,,rule_or_control,True
supplemental_2023_09_legacy,s0_liquidity_matched,120,391950,20,3046,,,rule_or_control,True
supplemental_2023_09_legacy,s0_liquidity_matched,240,305350,20,3044,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,10,242602,20,3050,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,20,242493,20,3049,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,40,242520,20,3049,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,60,242509,20,3048,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,120,242351,20,3046,,,rule_or_control,True
supplemental_2023_09_legacy,s0_random_matched,240,242168,20,3044,,,rule_or_control,True
supplemental_2023_09_legacy,s0_strong_no_ma,10,108608,20,3050,,,rule_or_control,False
