sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
supplemental_2023_09_legacy,random_hash,protect_3pct_target6pct_3d,4,2,0.5,0,0.0,0.0034863887499999996,-0.0006322284500000011,0.04173202791430889,-0.0466465704,0.0618565823,-0.048427559725,-0.03575869925,-0.0878477651,39.75,159,1,4
supplemental_2023_09_legacy,sector_leader,fast_failure_2pct_target4pct_2d,10,0,0.0,0,0.0,-0.04669544945,-0.04669544945,0.03131722735,-0.0780126768,-0.0153782221,-0.11586369840000002,-0.1158636984,-0.1252219421,81.0,810,0,10
supplemental_2023_09_legacy,sector_leader,momentum_trail_4pct_5d,5,5,1.0,0,0.0,0.0144039526,0.0144039526,0.0,0.0144039526,0.0144039526,-0.1276954496,-0.1276954496,-0.1276954496,46.0,230,0,5
supplemental_2023_09_legacy,sector_leader,next_open_1d,15,0,0.0,0,0.0,-0.034097548600000006,-0.0350986535,0.007578102995431922,-0.0428376568,-0.0243563355,-0.11437345033333335,-0.1139069322,-0.1438713562,91.0,1365,0,15
supplemental_2023_09_legacy,sector_leader,protect_3pct_target6pct_3d,25,5,0.2,0,0.0,-0.018436328199999998,-0.0266109569,0.04522636342415697,-0.0847862241,0.0566147838,-0.07236323521999999,-0.0717498809,-0.080212123,60.2,1505,0,25
supplemental_2023_09_legacy,trend_structure,fast_failure_2pct_target4pct_2d,3,0,0.0,0,0.0,-0.04102558416666666,-0.0402336021,0.004915834421335944,-0.0474030228,-0.0354401276,-0.05280588986666667,-0.0511327595,-0.0572484675,65.0,195,1,3
supplemental_2023_09_legacy,trend_structure,momentum_trail_4pct_5d,1,0,0.0,0,0.0,-0.0100661632,-0.0100661632,0.0,-0.0100661632,-0.0100661632,-0.0366863039,-0.0366863039,-0.0366863039,27.0,27,0,1
supplemental_2023_09_legacy,trend_structure,next_open_1d,12,1,0.08333333333333333,0,0.0,-0.030967245641666655,-0.0748192629,0.14505560246354157,-0.1232680606,0.4403390455,-0.09360525716666668,-0.1004778912,-0.1199026181,94.83333333333333,1138,0,12
supplemental_2023_09_legacy,trend_structure,next_open_2d,7,0,0.0,0,0.0,-0.05283198241428571,-0.0482145165,0.01367642193763334,-0.0738817035,-0.0284872032,-0.06361030011428571,-0.0586706981,-0.0924043199,48.857142857142854,342,0,7
supplemental_2023_09_legacy,trend_structure,next_open_3d,12,1,0.08333333333333333,0,0.0,-0.034459476291666666,-0.0388451932,0.029140671890843135,-0.0885500096,0.0146867637,-0.06813035954166667,-0.0635331884,-0.1006881826,32.0,384,0,12
supplemental_2023_09_legacy,trend_structure,protect_3pct_target6pct_3d,2,1,0.5,0,0.0,-0.036046448599999996,-0.036046448599999996,0.04117068979999999,-0.0772171384,0.0051242412,-0.0620205051,-0.0620205051,-0.0875934251,44.5,89,0,2
