sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,49999.03344709621,101629.873467092,-0.0018951415805259309,0.016050604961369168,-1.8743492846771,-0.39995718732677144,-0.07183004570644169,0.05307979662535356,4.880116959064328,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,56753.581074892005,104299.761115984,-0.0012534456051050112,0.01763733701693079,-1.1281653289965297,-0.2993704479488257,-0.08641831824027779,0.04156306687471578,4.89766081871345,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_1d,342,2022-01-04,2023-06-02,48603.68562777096,101629.873467092,-0.0019687977409408425,0.01660823912611771,-1.8818187159132742,-0.41234196850978166,-0.06877163141878295,0.04621357223120648,4.871345029239766,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_2d,342,2022-01-04,2023-06-02,52493.08721695868,102450.28001036204,-0.0015089811822228657,0.018841052103420297,-1.2713904465599946,-0.3465084619888332,-0.06970549799740189,0.06250643483316831,4.912280701754386,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_3d,342,2022-01-04,2023-06-02,54174.91412588577,103991.53634434003,-0.0015275952644654182,0.01633813804258404,-1.4842464287673072,-0.34233911644732884,-0.058985722423006925,0.05919778952955568,4.894736842105263,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_5d,342,2022-01-04,2023-06-02,74070.049437649,106582.873467092,-3.6805426896200704e-06,0.01823284896850231,-0.0032044802202816853,-0.042133795088404424,-0.08140018451878983,0.05595180114338638,4.93859649122807,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,58099.86646137235,101629.873467092,-0.0009596263963359683,0.01712572433091047,-0.8895154729270701,-0.24356913677423375,-0.08404031120570155,0.05455313060352007,4.888888888888889,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,52414.89670872245,103191.49104597105,-0.001727502673683068,0.01590766029458945,-1.7239024642684027,-0.3737036478260153,-0.07138757530443762,0.04716009505315233,4.871345029239766,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,77831.59113227903,107789.30076461547,-0.00036225834572886656,0.015068381680667502,-0.3816383922843854,-0.11315806121798178,-0.06542048390269639,0.0510284100124716,4.850877192982456,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_1d,342,2022-01-04,2023-06-02,53739.57785549697,102631.99742845107,-0.00161502877196457,0.017124590829314154,-1.4971328191448874,-0.35888555770226416,-0.06979278801654198,0.046885648614705566,4.871345029239766,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_2d,342,2022-01-04,2023-06-02,69967.54373918513,102474.50459240902,-0.0005924802148451062,0.018202193226445222,-0.5167142065920385,-0.17407137209119217,-0.05944086023946982,0.05624149682697732,4.93859649122807,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_3d,342,2022-01-04,2023-06-02,72204.33824280546,102160.58086585604,-0.0005547985549465448,0.015295874691183951,-0.575786230115727,-0.15591048679483877,-0.06665239704097015,0.03849082286577654,4.868421052631579,0.9736842105263158,5
