sample_group,selection_ranker,selection_seed,strategy_id,policy_id,trade_row_count,distinct_signal_count,distinct_symbol_count,total_entry_notional,total_buy_cost,total_sell_cost,total_cost,mean_cost_rate,total_pnl,total_proceeds,mean_pnl,mean_trade_net_return,median_trade_net_return,trade_win_rate,mean_holding_trading_days,max_holding_trading_days,total_exit_attempt_count
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_3d,555,555,512,9103869.0,9303.760545432324,18433.852465337168,27737.61301076949,0.003052051669842967,-13632.907696797294,9099539.852848634,-24.56379765188702,-0.001094537535117018,-0.004688052711321349,0.43243243243243246,3.0,3,555.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_5d,335,335,325,5035636.1,5271.218132862355,10276.995669958334,15548.213802820685,0.003099726550663949,-32073.211199040063,5008834.106933823,-95.7409289523584,-0.005451841010124531,-0.004166122014398356,0.44776119402985076,5.0,5,336.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,899,899,779,13468624.2,14155.797157038367,27637.38396386031,41793.1811208987,0.0031176134018974892,-29805.480917354045,13452974.516239692,-33.15403884021585,-0.002164409515394725,-0.006322998359764911,0.44382647385984425,1.7975528364849833,3,900.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,1019,1019,871,16362451.200000001,16897.722422536153,33283.8823556334,50181.60477816958,0.0030778180455158883,-31395.32899325052,16347953.593429271,-30.809940130765966,-0.0015444256681010522,-0.004636047807463072,0.44553483807654565,1.2178606476938174,2,1020.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,582,582,541,10018021.7,10307.949808478168,20343.839878360675,30651.78968683883,0.003079502772739865,-17494.825025481165,10010834.824783007,-30.05983681354152,-0.0014206172471585006,-0.00301625293001369,0.4845360824742268,2.8470790378006874,5,583.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_1d,595,595,545,9984254.0,10280.100550577163,20270.891730194315,30550.99228077146,0.003074849902205352,-23706.992280771432,9970827.108269824,-39.8436845054982,-0.002486850169459226,-0.005307160986532808,0.3949579831932773,1.0,1,595.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_2d,830,830,742,12935782.7,13502.657468007854,26427.117839599396,39929.7753076073,0.0031054812349670872,-42310.65962015987,12906974.697847852,-50.97669833754202,-0.0030294274606982013,-0.00506637288362835,0.41927710843373495,2.0,2,831.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_3d,554,554,527,8117664.399999999,9433.946899943086,17517.324987922086,26951.27188786517,0.004989314048429824,-40789.81827364515,8086308.528626296,-73.62783081885406,-0.004550350922444181,-0.005795602541253647,0.4259927797833935,3.0018050541516246,4,794.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_5d,335,335,323,5941801.3,6044.419767981581,12010.528596980816,18054.948364962398,0.0030439276441484326,-4952.4600237970735,5942893.259744184,-14.783462757603205,-0.00010843064735664667,-0.0006648761680562582,0.48656716417910445,5.0,5,335.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,891,891,770,14597120.2,15117.786201430223,29722.65530750623,44840.441508936354,0.0030910704900545555,-36564.596650611624,14575673.389550801,-41.037706678576455,-0.0021638112461255044,-0.004738159228925767,0.4624017957351291,1.7699214365881033,3,892.0
