sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,next_open_5d,100000.0,95047.5399762029,95047.5399762029,-0.0495246002,-0.2480213617,1981977,335,335,1978391,0,3251,335,0.4865671642,-0.0001084306,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.0292816765, 'maximum_drawdown': -0.2480213617}, {'year': 2023, 'net_return': -0.0208535506, 'maximum_drawdown': -0.1522232247}]",0,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,next_open_3d,100000.0,90109.4395316463,90109.4395316463,-0.0989056047,-0.2828222861,191860,556,553,191073,3,231,553,0.4484629295,-0.0004851568,1440,0,0,0.0,"[{'year': 2022, 'net_return': -0.0492907937, 'maximum_drawdown': -0.2828222861}, {'year': 2023, 'net_return': -0.0521871574, 'maximum_drawdown': -0.2200281802}]",1440,0,0,553,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,next_open_5d,100000.0,66446.9273270786,66446.9273270786,-0.3355307267,-0.4302785732,191860,353,334,191252,19,255,334,0.4281437126,-0.0053330525,961,0,0,0.0,"[{'year': 2022, 'net_return': -0.1523519758, 'maximum_drawdown': -0.4302785732}, {'year': 2023, 'net_return': -0.2161023746, 'maximum_drawdown': -0.3769705685}]",961,0,0,334,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_acceleration,momentum_trail_4pct_5d,100000.0,67425.786080082,67425.786080082,-0.3257421392,-0.452087644,988488,564,556,984844,8,3080,556,0.4568345324,-0.0032194263,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3978069052, 'maximum_drawdown': -0.452087644}, {'year': 2023, 'net_return': 0.1196705286, 'maximum_drawdown': -0.4031448751}]",0,191,0,195,170,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_acceleration,next_open_5d,100000.0,121088.7439105958,121088.7439105958,0.2108874391,-0.2285799793,988488,336,335,985541,1,2611,335,0.4597014925,0.0035094801,0,0,0,0.0,"[{'year': 2022, 'net_return': 0.0229924644, 'maximum_drawdown': -0.2285799793}, {'year': 2023, 'net_return': 0.1836719049, 'maximum_drawdown': -0.1800778867}]",0,0,0,335,0,True,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_breakout_recent,momentum_trail_4pct_5d,100000.0,56036.9282739435,56036.9282739435,-0.4396307173,-0.4741597437,291133,704,696,287931,8,2498,696,0.4597701149,-0.0036731408,15,0,0,0.0,"[{'year': 2022, 'net_return': -0.4478289882, 'maximum_drawdown': -0.4604259115}, {'year': 2023, 'net_return': 0.0148473403, 'maximum_drawdown': -0.4741597437}]",15,266,0,155,275,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_breakout_recent,protect_3pct_target6pct_3d,100000.0,48787.7090791399,48787.7090791399,-0.5121229092,-0.5403156278,291133,1045,1033,287240,12,2848,1033,0.4549854792,-0.0031233864,619,0,0,0.0,"[{'year': 2022, 'net_return': -0.4810739846, 'maximum_drawdown': -0.4978995818}, {'year': 2023, 'net_return': -0.0598330469, 'maximum_drawdown': -0.5403156278}]",619,378,63,241,351,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_bull_stack,momentum_trail_4pct_5d,100000.0,34292.4887745418,34292.4887745418,-0.6570751123,-0.6892357493,154512,806,784,151627,22,2079,784,0.4323979592,-0.0068545165,10,0,0,0.0,"[{'year': 2022, 'net_return': -0.6462880831, 'maximum_drawdown': -0.6796016161}, {'year': 2023, 'net_return': -0.0304966519, 'maximum_drawdown': -0.6892357493}]",10,343,0,127,314,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_daily_trend,momentum_trail_4pct_5d,100000.0,66157.3350067461,66157.3350067461,-0.3384266499,-0.4385564923,799992,654,646,796139,8,3199,646,0.4690402477,-0.0028700813,3,0,0,0.0,"[{'year': 2022, 'net_return': -0.3583238063, 'maximum_drawdown': -0.382142438}, {'year': 2023, 'net_return': 0.031008095, 'maximum_drawdown': -0.4385564923}]",3,228,0,169,249,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_reclaim_daily_trend,next_open_5d,100000.0,97791.2979779732,97791.2979779732,-0.0220870202,-0.3458185029,799992,338,335,797079,3,2575,335,0.471641791,0.0007788388,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.0256841645, 'maximum_drawdown': -0.3458185029}, {'year': 2023, 'net_return': 0.0036919695, 'maximum_drawdown': -0.2305417428}]",0,0,0,335,0,True,False
