sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count
primary_development_2022_2023_partial,s1_near_reversal,60,gross_return,5m,470625,2.291688352329045e-05,0.0,0.004996964872514481,0.36876281540504646,1.0157424341530243,470627,331,3068,1,470627,470627
primary_development_2022_2023_partial,s1_near_reversal,20,gross_return,5m,867871,-3.4876997346529395e-05,0.0,0.004810482234003833,0.36324868557654305,0.9756598287573959,867875,331,3071,1,867875,867875
primary_development_2022_2023_partial,s1_near_reversal,120,gross_return,5m,305638,1.3102570394444136e-05,0.0,0.005183484786169037,0.3727743277995537,1.0085820581636253,305639,331,3045,1,305639,305639
primary_development_2022_2023_partial,s1_near_reversal,240,gross_return,5m,232988,-5.327224077229623e-06,0.0,0.005078252764095301,0.36819492849417135,0.9964424090882837,232989,331,3033,1,232989,232989
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,60,gross_return,5m,32448,0.0002595339854242754,0.0,0.006741755884241168,0.4098557692307692,1.1425051263583346,32448,330,2937,1,32448,32448
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,40,gross_return,5m,352865,0.00014160896227571678,0.0,0.006282917452170747,0.3724653904467714,1.0824290495953015,352866,331,3070,1,352866,352866
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,10,gross_return,5m,804898,2.0330092546474685e-05,0.0,0.0058005986828763385,0.3649083486354793,1.0123889300751827,804909,331,3073,1,804909,804909
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,20,gross_return,5m,533868,7.706494687361499e-05,0.0,0.006016337849442005,0.3685480305993242,1.046064301231622,533876,331,3071,1,533876,533876
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,120,gross_return,5m,183080,0.00013851275000046538,0.0,0.006680285132295463,0.37425715534192705,1.0752260556468005,183081,331,3046,1,183081,183081
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,60,gross_return,5m,280893,0.0001317980658900684,0.0,0.0064364695853750846,0.36984189709248716,1.075040767824291,280895,331,3067,1,280895,280895
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,240,gross_return,5m,138636,4.790235737440656e-05,0.0,0.0066886184948781865,0.3658212874000981,1.0257292797671032,138636,331,3032,1,138636,138636
primary_development_2022_2023_partial,s1_break_reclaim_stable3,10,gross_return,5m,952493,5.847286685766974e-05,0.0,0.005373582524104959,0.37480275445593825,1.0388607129698892,952519,331,3073,1,952519,952519
primary_development_2022_2023_partial,s1_break_reclaim_stable3,20,gross_return,5m,644136,7.267119749733252e-05,0.0,0.005418192123184875,0.3776764534197747,1.0477700790261617,644150,331,3071,1,644150,644150
primary_development_2022_2023_partial,s1_break_reclaim_stable3,40,gross_return,5m,432559,0.00013087196340885225,0.0,0.005618666326197258,0.3824426263238079,1.0850188193673418,432563,331,3071,1,432563,432563
primary_development_2022_2023_partial,s1_break_reclaim_stable3,240,gross_return,5m,171376,9.485438643312509e-05,0.0,0.005796436655884882,0.380193259266175,1.0585029225375844,171376,331,3031,1,171376,171376
primary_development_2022_2023_partial,s1_break_reclaim_stable3,120,gross_return,5m,226976,0.00015126823421989516,0.0,0.00586434439729971,0.38638005780346824,1.0930797685895304,226979,331,3045,1,226979,226979
primary_development_2022_2023_partial,s1_break_reclaim_stable3,60,gross_return,5m,347730,0.00015258106835844824,0.0,0.005718550644240882,0.38129583297385905,1.09792841474606,347734,331,3068,1,347734,347734
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,120,gross_return,5m,14408,0.00027915709066284153,0.0,0.0070336462695532505,0.4095641310383121,1.1491462678028048,14408,330,2459,1,14408,14408
primary_development_2022_2023_partial,ng_r1_auction_reclaim,10,gross_return,5m,323179,4.6085900127393e-05,0.0,0.005186017509619349,0.37078832473644635,1.0312846791165855,323179,197,3071,1,323179,323179
primary_development_2022_2023_partial,ng_r1_auction_reclaim,120,gross_return,5m,74680,0.00017787639708378728,0.0,0.006161390873802144,0.3757096946973755,1.105889129945359,74680,197,3036,1,74680,74680
primary_development_2022_2023_partial,ng_r1_auction_reclaim,40,gross_return,5m,149096,0.00013010876778052672,0.0,0.005617012037353166,0.37207570960991576,1.0838399469248476,149097,197,3065,1,149097,149097
primary_development_2022_2023_partial,ng_r1_auction_reclaim,20,gross_return,5m,222980,5.0356338703447705e-05,0.0,0.005359202729443552,0.36913176069602655,1.0330357037551174,222984,197,3068,1,222984,222984
primary_development_2022_2023_partial,ng_r1_auction_reclaim,60,gross_return,5m,117566,0.00012479013406517764,0.0,0.005744476997862846,0.37183369341476274,1.0781356600313026,117566,197,3058,1,117566,117566
primary_development_2022_2023_partial,ng_r1_auction_reclaim,240,gross_return,5m,56405,7.180984622128784e-05,0.0,0.006112355751723666,0.36698874213278965,1.0424832510476665,56405,197,3015,1,56405,56405
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,10,gross_return,5m,696381,2.7394097960941166e-05,0.0,0.005601627168879167,0.3670418922974636,1.0174798415587145,696383,331,3073,1,696383,696383
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,120,gross_return,5m,158020,0.00016049981692661857,0.0,0.006514605175958832,0.37682571826351097,1.0911425911870307,158021,331,3046,1,158021,158021
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,40,gross_return,5m,308490,0.00014555472624999053,0.0,0.006089450020776037,0.3737009303380985,1.0887246820096017,308491,331,3067,1,308491,308491
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,20,gross_return,5m,463270,7.825445002375706e-05,0.0,0.005816845993052385,0.37019880415308565,1.0487906068282773,463273,331,3070,1,463273,463273
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,60,gross_return,5m,244713,0.00014867862396515644,0.0,0.006235438697389395,0.37398503553141843,1.0886906336223892,244714,331,3064,1,244714,244714
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,240,gross_return,5m,119526,7.207702450351907e-05,0.0,0.006466095831922288,0.3692251058347138,1.0407771953024767,119526,331,3030,1,119526,119526
primary_development_2022_2023_partial,s2_reclaim_bull_stack,120,gross_return,5m,2467,0.00024488977092588393,0.0,0.007531678501990227,0.4398054316984191,1.1165818993379986,2467,279,1194,1,2467,2467
primary_development_2022_2023_partial,s2_reclaim_recent_high,10,gross_return,5m,658144,-0.00015279604691152546,0.0,0.005351021213482192,0.3480545291000146,0.9037884479314128,658158,331,3073,1,658158,658158
primary_development_2022_2023_partial,s2_reclaim_recent_high,20,gross_return,5m,442591,-0.00012230723316842098,0.0,0.005381647445202426,0.35136051117171385,0.9239759263546498,442601,331,3071,1,442601,442601
primary_development_2022_2023_partial,s2_reclaim_recent_high,40,gross_return,5m,296319,-9.615887443918035e-05,0.0,0.005524017161209001,0.35273134696053915,0.9413282828257079,296324,331,3069,1,296324,296324
primary_development_2022_2023_partial,s2_reclaim_recent_high,60,gross_return,5m,236260,-0.00011249084092823203,0.0,0.005577659569460484,0.3533945653094049,0.9325903380482916,236267,331,3067,1,236267,236267
