sample_group,strategy_id,ma_period,control_id,horizon,matched_date_count,mean_daily_difference,median_daily_difference,std_daily_difference,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,s0_random_matched,5d,20,-0.0026355138605801587,-0.002588279367919339,0.00039684365326918063,0.0,3.5162626879637894e-17,1.9073486328125e-06,1.1603666870280505e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,5m,20,-0.0002436132705160051,-0.0002437247612817827,0.00019328354393800926,0.1,2.6701648959151537e-05,0.0004024505615234375,0.0002517584044720002
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,15m,20,-0.00038289726616333984,-0.00040539825387235636,0.0003306021654799487,0.15,7.136418128180217e-05,0.0025768280029296875,0.0014417118135143416
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,30m,20,-0.00045488268753055927,-0.0003445546403931345,0.00046660255521703537,0.2,0.00043359233514268997,0.01181793212890625,0.008176312605547869
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,60m,20,-0.0005789987643073083,-0.00042297809357112065,0.0006070070706977057,0.2,0.0005344069579618643,0.01181793212890625,0.017635429612741522
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,1d,20,-0.0013182215902263438,-0.0011716455659722175,0.0023793375926838708,0.25,0.025983243463646645,0.04138946533203125,0.1755387612837895
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,2d,20,-0.0013079030204220048,-0.0007400542239580294,0.002558924108798851,0.3,0.03816756907696706,0.11531829833984375,0.21904865731128925
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,3d,20,-0.0014431027990668577,-0.0012145884173316375,0.00336750489856515,0.3,0.07727095608474807,0.11531829833984375,0.4259031662627416
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_liquidity_matched,5d,20,-0.0014200098402631857,-0.00034623123309167103,0.004952090014934614,0.45,0.22650863119865566,0.8238029479980469,0.7666445979031423
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,5m,20,-0.0006908104998929008,-0.000599288702427008,0.0002985483018645462,0.0,4.5836979521998905e-09,1.9073486328125e-06,1.2100962593807712e-07
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,15m,20,-0.0014678749107903519,-0.0014338687170273546,0.0005023203713467667,0.0,9.400452992155921e-11,1.9073486328125e-06,6.204298974822908e-09
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,30m,20,-0.002448812356859473,-0.002306003759767512,0.0005875117756839351,0.0,1.811685505026688e-13,1.9073486328125e-06,4.782849733270456e-12
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,60m,20,-0.0027297909291555587,-0.002647758835545916,0.0006254648022992812,0.0,7.89177471460641e-14,1.9073486328125e-06,2.0834285246560925e-12
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,1d,20,-0.002736517905004408,-0.002739374203795604,0.00042136364333375553,0.0,5.327081901474978e-17,1.9073486328125e-06,1.4063496219893943e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,2d,20,-0.0027291747155179036,-0.002744746747715882,0.00042128968684884075,0.0,5.581549997140915e-17,1.9073486328125e-06,1.4735291992452016e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,3d,20,-0.0027266030761482615,-0.0027429423821703717,0.0004143621908793007,0.0,4.173856426052161e-17,1.9073486328125e-06,1.1018980964777705e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,s0_random_matched,5d,20,-0.002726011469307001,-0.0027412093811156673,0.0004191423397763126,0.0,5.1865384457447494e-17,1.9073486328125e-06,1.3692461496766138e-15
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,5m,20,-0.0002368847491811502,-0.00022656529829928016,0.00021425321347019226,0.15,0.00011917226952330525,0.0025768280029296875,0.0008279336619513839
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,15m,20,-0.0003150383362089157,-0.00023268538295218152,0.0003830460725437595,0.2,0.0019746893598828292,0.01181793212890625,0.0124123331192635
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,30m,20,-0.0005686797191718386,-0.0005713626732374423,0.000529120155566467,0.15,0.00016136813797975073,0.0025768280029296875,0.0053251485533317745
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,60m,20,-0.0007284076506329731,-0.0005999791548701953,0.0007270992332119668,0.25,0.00033190363605557966,0.04138946533203125,0.014603759986445504
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,1d,20,-0.0014513282480702536,-0.0005939063986488929,0.002339704662869735,0.25,0.014072124392582425,0.04138946533203125,0.17253263939512914
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,2d,20,-0.0021381232402404417,-0.0018278916889487335,0.0032643300768298556,0.2,0.010129429555974774,0.01181793212890625,0.12323235459946678
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,3d,20,-0.002230481155476637,-0.0016264456518538897,0.0041519519933281976,0.25,0.030248069352478202,0.04138946533203125,0.4259031662627416
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_liquidity_matched,5d,20,-0.0022292960423646578,-0.001863066736785068,0.0044811043692311835,0.25,0.04302142535788196,0.04138946533203125,0.634405276107873
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,5m,20,-0.0006687171387313327,-0.0006655665802575896,0.0002870155140669293,0.0,4.100466950576452e-09,1.9073486328125e-06,1.2100962593807712e-07
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,15m,20,-0.001440089866725215,-0.0014725189586369605,0.0005595663325365782,0.0,8.015677537415414e-10,1.9073486328125e-06,1.763449058231391e-08
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,30m,20,-0.0024657826511755585,-0.002274434384829447,0.0005402034925853578,0.0,3.500068572412527e-14,1.9073486328125e-06,1.540030171861512e-12
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,60m,20,-0.002762416711003585,-0.002786932028802704,0.0005054831825570878,0.0,1.2982585255616415e-15,1.9073486328125e-06,8.568506268706834e-14
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,1d,20,-0.0027886725393300644,-0.002746067661695885,0.00039386774381629437,0.0,1.0674349525426936e-17,1.9073486328125e-06,7.045070686781778e-16
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,2d,20,-0.002783499053568427,-0.002776479132708313,0.0003974603660015138,0.0,1.3088484169843802e-17,1.9073486328125e-06,8.638399552096909e-16
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,3d,20,-0.0027834008918774075,-0.0027568953461086106,0.0003903068827632432,0.0,9.33495689030816e-18,1.9073486328125e-06,6.161071547603386e-16
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,s0_random_matched,5d,20,-0.0027813132186850836,-0.002726368619182809,0.00039397837971371995,0.0,1.1272313804192554e-17,1.9073486328125e-06,7.439727110767085e-16
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,5m,20,-0.00021216167277052578,-0.00022431541186446918,0.0002522023740580279,0.2,0.001638957298709298,0.01181793212890625,0.006978785917084753
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,15m,20,-0.0003967886706780732,-0.00039490745796399675,0.00041701611348133125,0.2,0.0005471220854445601,0.01181793212890625,0.006565465025334722
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,30m,20,-0.00047055022716180355,-0.00043592296147859373,0.0005484826433932575,0.1,0.0013886734927611407,0.0004024505615234375,0.017838124811562082
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,60m,20,-0.0007088788335466798,-0.000812762256438955,0.0005937387173924651,0.1,5.048810265135427e-05,0.0004024505615234375,0.006664429549978763
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,1d,20,-0.0011199400238501684,-0.001718862749077377,0.0016598320205501189,0.25,0.008385142232147423,0.04138946533203125,0.17253263939512914
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,2d,20,-0.0007978044074433456,-0.0013456679576469802,0.0028592973990266926,0.3,0.23879366681009875,0.11531829833984375,0.5457819846589869
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,3d,20,-0.0008434483359298992,-0.000828640642623831,0.00280690497202259,0.25,0.20587769877437043,0.04138946533203125,0.46542375066644526
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_liquidity_matched,5d,20,-0.0007531074552695605,-0.0008068097304706813,0.0038942148844357378,0.4,0.4097304028646983,0.5034446716308594,0.9195060533020851
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_random_matched,5m,20,-0.0006796009226834312,-0.0007258386216719245,0.0003216638231311307,0.05,1.94997442046517e-08,4.00543212890625e-05,4.2899437250233745e-07
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_random_matched,15m,20,-0.001494119251472217,-0.0015893155438237074,0.0005256326652630767,0.0,1.5062383448092616e-10,1.9073486328125e-06,6.627448717160751e-09
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,s0_random_matched,30m,20,-0.002615194488812052,-0.0026541641537564716,0.0005511038024871505,0.0,1.725700842874342e-14,1.9073486328125e-06,1.1389625562970658e-12
