sample_group,strategy_id,ma_period,horizon,gross_observed_count,gross_mean,gross_median,gross_win_rate,gross_profit_factor,net_observed_count,net_mean,net_median,net_win_rate,net_profit_factor,mean_cost_drag,median_cost_drag,win_rate_change,observed_count_difference
primary_development_2022_2023_partial,s1_touch_reclaim,240,15m,202953,0.0001415191222404,0.0,0.401427916808325,1.0533184923770549,202953,-0.0028751606652414,-0.0030162529300138,0.2453474449749449,0.3817523196318186,0.0030166797874818002,0.0030162529300138,-0.1560804718333801,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,1d,202636,0.0004039482784352,-0.0009774374912124,0.4647644051402514,1.037795902147029,202636,-0.0026135230617572,-0.0039907422225295,0.4229455772913006,0.7878365811903654,0.0030174713401924,0.0030133047313171003,-0.0418188278489508,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,2d,202594,0.0005416387616367,-0.0013513513513514,0.470754316514803,1.0383136280000658,202594,-0.002476247887879,-0.0043635282638921,0.4400870706931103,0.8425353617087216,0.0030178866495157,0.0030121769125407,-0.030667245821692668,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,30m,202939,0.0001868309483132,0.0,0.4161102597332203,1.0547145485332547,202939,-0.0028299855110966,-0.0030162529300139,0.2874311985374915,0.4683566873846791,0.0030168164594098,0.0030162529300139,-0.1286790611957288,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,3d,202538,0.0008665360460043,-0.0015576323987538,0.4728692887260662,1.051679527268135,202538,-0.0021523305758973,-0.004569187115481,0.4471802822186453,0.8826231221689115,0.0030188666219016,0.0030115547167272006,-0.025689006507420897,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,5d,202504,0.0012235514849772,-0.0019569471624267,0.4758967724094339,1.0574644062475382,202504,-0.0017963919857882,-0.004967297444828,0.4556897641528069,0.9213233197070052,0.0030199434707654,0.0030103502824013,-0.020207008256627024,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,5m,202958,5.916793064737644e-05,0.0,0.376048246435223,1.033024432565678,202958,-0.0029572634648121,-0.0030162529300138,0.1812985937977315,0.2478032671235995,0.0030164313954594768,0.0030162529300138,-0.1947496526374915,0
primary_development_2022_2023_partial,s1_touch_reclaim,240,60m,202900,0.0001794039619021,0.0,0.4295465746673238,1.0388407017779877,202900,-0.0028373900958379,-0.0030162529300139,0.3321488417939872,0.5595568459192958,0.00301679405774,0.0030162529300139,-0.09739773287333664,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,15m,6401,0.0007040530700981,0.0,0.4407123886892673,1.2221523729581782,6401,-0.0023143234620512,-0.0030162529300138,0.3013591626308389,0.5393858049571053,0.0030183765321493,0.0030162529300138,-0.13935322605842843,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,1d,6381,0.0024665205994668,0.0,0.4994514966306221,1.2049578973859896,6381,-0.000557171980532,-0.0030162529300136,0.461683121767748,0.9588793549500382,0.0030236925799987996,0.0030162529300136,-0.0377683748628741,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,2d,6386,0.0047967533569898,0.0036496836496837,0.5364860632633887,1.3027611231681413,6386,0.0017660322056085,0.0006224223506678,0.5092389602254933,1.1025206410020971,0.0030307211513813,0.0030272612990159,-0.02724710303789535,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,30m,6399,0.0009883212146886,0.0,0.4619471792467573,1.2429004409111806,6399,-0.0020309127420847,-0.0030162529300138,0.345679012345679,0.650833976856257,0.0030192339567733,0.0030162529300138,-0.11626816690107833,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,3d,6373,0.0053231415375078,0.0025010421008755,0.5200062764788953,1.279151880770669,6373,0.0022908326662345,-0.000522754604703,0.4934881531460851,1.11180607313842,0.0030323088712733005,0.0030237967055784997,-0.02651812333281023,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,5d,6374,0.0072516939399876,0.0052481727010029,0.5404769375588327,1.326518747099198,6374,0.0042135680668797,0.0022160899547026,0.5208660181989332,1.1789091909405829,0.0030381258731079002,0.0030320827463003004,-0.01961091935989956,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,5m,6401,0.0002195155297871,0.0,0.4027495703796281,1.0957604673652386,6401,-0.0027973995145865,-0.0030162529300138,0.2227776909857834,0.3534800189882586,0.0030169150443736,0.0030162529300138,-0.1799718793938447,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,60m,6396,0.0012523036938992,0.0,0.4809255784865541,1.2382031505050184,6396,-0.0017677265008005,-0.0030162529300138,0.3869606003752345,0.7444556157068665,0.0030200301946997,0.0030162529300138,-0.0939649781113196,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,15m,36432,0.0001777399711468,0.0,0.4236385595081247,1.061384553013836,36432,-0.0028390490675756,-0.0030162529300138,0.2768719806763285,0.4100167931790063,0.0030167890387223996,0.0030162529300138,-0.14676657883179617,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,1d,36352,0.0026191734167713,0.0007199424046077,0.5034386003521126,1.2631805985419642,36352,-0.000404979602735,-0.0022984820537935,0.4571412852112676,0.964705892621504,0.0030241530195063,0.0030184244584012003,-0.04629731514084501,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,2d,36349,0.0026620337761685,0.0,0.4997661558777408,1.193490343150218,36349,-0.0003622485210224,-0.0030162529300136,0.4667528680293818,0.9762672164572876,0.0030242822971909,0.0030162529300136,-0.033013287848358996,0
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,30m,36428,0.0003381168453337,0.0,0.4401559240144943,1.0945612132711893,36428,-0.0026791559306054,-0.0030162529300138,0.3148951356099703,0.5047435590363855,0.0030172727759391,0.0030162529300138,-0.12526078840452404,0
