sample_group,strategy_id,ma_period,event_trigger,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,ng_r1_auction_reclaim,60,touch_reclaim,117566,-0.002891839194557362,-0.0030162529300138408,0.1730006974805641,-0.002750386746543902,-0.0030162529300138408,0.23611819944881085,-0.002582746836041335,-0.0030162529300138408,0.2834103146451629,-0.0021803115024864564,-0.0030162529300138408,0.3356956296100935,0.00042441388610920663,-0.0014535824800608887,0.4699413052552668,0.0016743849139642933,-0.0007758400152499956,0.4878961136342334,0.002364239590883483,-0.0001264449674922008,0.49824420844484596,0.0023865599124802744,-0.0009789490372305587,0.49097371381814464
primary_development_2022_2023_partial,ng_r1_auction_reclaim,120,touch_reclaim,74680,-0.0028389130531345586,-0.0030162529300138408,0.18196304231387253,-0.0027075993939089287,-0.0030162529300138408,0.24549727493070156,-0.0025577125346098947,-0.0030162529300138408,0.289903981358724,-0.0021249853770596867,-0.0030162529300138408,0.34104394647664715,0.00038809137374046704,-0.0014511293082399845,0.4717631593067554,0.0013126810876039426,-0.0012155591760630857,0.48297147151176834,0.0022782039515321147,-0.0005855729340366045,0.4930488459473967,0.002538589148531919,-0.00025069468571403686,0.4976450855417645
primary_development_2022_2023_partial,ng_r1_auction_reclaim,240,touch_reclaim,56405,-0.0029446596804520025,-0.0030162529300138408,0.17337115503944686,-0.002801104248864802,-0.0030162529300138408,0.23510743918871002,-0.0026097526907498635,-0.0030162529300138408,0.2837310733661927,-0.002221462595248536,-0.0030162529300138408,0.3353844516952759,0.0006974205332901554,-0.001505671495059313,0.4699866844207723,0.0019659799403276977,-0.0011136121913305486,0.48443994458062456,0.002933348094979051,-0.0006109810415292349,0.49239570748347666,0.003393773506875635,-0.0006648761680562165,0.49339942789119273
primary_development_2022_2023_partial,ng_r3_volume_quality,10,touch_reclaim,792897,-0.0030484647863741445,-0.0030162529300138408,0.1270094313684439,-0.0030385906640191147,-0.0030162529300138408,0.1998150981329452,-0.003026769191328696,-0.0030162529300139518,0.2519138179611926,-0.0030444162058158556,-0.003016252930014063,0.311216172566595,-0.002714358184226626,-0.0036995865469226508,0.42191684943552216,-0.0027528767694196188,-0.004513225523212094,0.4331258324676933,-0.0028301631914908923,-0.0049302168075593955,0.4391383685311928,-0.0028490657447995463,-0.005278697136678168,0.450335026689638
primary_development_2022_2023_partial,ng_r3_volume_quality,20,touch_reclaim,531552,-0.003041003475466366,-0.0030162529300138408,0.12999512739326827,-0.003022898031097735,-0.0030162529300138408,0.20492472559931668,-0.003014651909994202,-0.0030162529300139518,0.25443673420236623,-0.0030077326353796876,-0.003016252930014063,0.31070488221223064,-0.0024813554018979886,-0.003415126219457665,0.42347627159526036,-0.002407170126671135,-0.0039965712653824426,0.4399142803830619,-0.002337056119759671,-0.004228784442591116,0.4483615857542963,-0.0025218619495861938,-0.004703196664480713,0.45592452445998
primary_development_2022_2023_partial,ng_r3_volume_quality,40,touch_reclaim,356776,-0.0030124862860091916,-0.0030162529300138408,0.13595161082365867,-0.0029730475721138805,-0.0030162529300138408,0.2110377961407797,-0.0029603364326129004,-0.0030162529300139518,0.2601385349827462,-0.0029465313765395813,-0.0030162529300139518,0.3159473766851349,-0.0023630530307671913,-0.0030162529300139518,0.4284354654411001,-0.0022451173743301108,-0.0034814267364455254,0.44494518947817685,-0.002233230897140838,-0.004135202141091199,0.4514777529730565,-0.0025684790611353835,-0.00499047817173659,0.45553445728442776
primary_development_2022_2023_partial,ng_r3_volume_quality,60,touch_reclaim,285699,-0.003007291137730055,-0.0030162529300138408,0.13746526003346238,-0.0029586967860982614,-0.0030162529300138408,0.21309610484164543,-0.002897024188575634,-0.0030162529300138408,0.26303261128302785,-0.0028199759464567174,-0.0030162529300139518,0.31934105948671265,-0.0022836049689557974,-0.0030162529300139518,0.4321851490910111,-0.002096050937881212,-0.0030162529300139518,0.4499176045720697,-0.0022390951891627124,-0.0039028563280264494,0.4539432154530279,-0.002639341684025958,-0.005030361509953174,0.4568435308275531
primary_development_2022_2023_partial,ng_r3_volume_quality,120,touch_reclaim,186990,-0.0029950907805599675,-0.0030162529300138408,0.14462960189958715,-0.0029707046629601067,-0.0030162529300138408,0.2205773817800644,-0.002947448851524604,-0.0030162529300139518,0.26834642805568776,-0.002927421018340023,-0.0030162529300139518,0.3219083181314831,-0.002632670723199499,-0.0035940470944787473,0.4278513963727517,-0.0026541001758120164,-0.004174189918480731,0.44299653322902655,-0.0027628011324394536,-0.00464783701221283,0.4469533339407549,-0.003279521545643582,-0.005592438322959303,0.45239001227296355
primary_development_2022_2023_partial,ng_r3_volume_quality,240,touch_reclaim,141107,-0.0030207408281958535,-0.0030162529300138408,0.141254508989632,-0.0029941697614429977,-0.0030162529300138408,0.2152910660373347,-0.0029740782704946525,-0.0030162529300139518,0.26366149266425687,-0.0029653995752956896,-0.0030162529300139518,0.3178028584392015,-0.002616290818551564,-0.003795349424974004,0.42232127647493045,-0.0024319042645746915,-0.004203845243378912,0.4406358492307474,-0.0021527712943912227,-0.004427411807678472,0.44773861852990676,-0.0018023906739928536,-0.0049483919747230765,0.4559808510487176
primary_development_2022_2023_partial,s0_distance_only,10,distance_only,1534685,-0.0029014870396319257,-0.0030162529300138408,0.15473985113499306,-0.0028397821512619816,-0.0030162529300138408,0.22132125498567423,-0.0028252951268867227,-0.0030162529300138408,0.26489489673436356,-0.0028739085271030558,-0.0030162529300139518,0.3190982452480901,-0.0026568786419762062,-0.00338916625783936,0.42323868924618474,-0.0026424121198140352,-0.004308160784418091,0.434209658793816,-0.0026831146250266163,-0.0046191206905764615,0.44111485337387946,-0.0026379472927306204,-0.004963486811009776,0.4515465694805326
