sample_group,strategy_id,ma_period,signal_count,recent_high_breakout_true_count,recent_high_breakout_true_fraction,prior_acceleration_true_count,prior_acceleration_true_fraction,breakout_recent_true_count,breakout_recent_true_fraction,daily_trend_positive_true_count,daily_trend_positive_true_fraction,market_supportive_true_count,market_supportive_true_fraction,sector_strong_true_count,sector_strong_true_fraction,leader_sync_true_count,leader_sync_true_fraction,auction_confirmed_true_count,auction_confirmed_true_fraction,volume_normal_true_count,volume_normal_true_fraction,not_repeated_cross_true_count,not_repeated_cross_true_fraction,sector_strength_rank_finite_count,sector_strength_rank_invalid_count,sector_strength_rank_finite_mean,sector_strength_rank_finite_median,sector_breadth_finite_count,sector_breadth_invalid_count,sector_breadth_finite_mean,sector_breadth_finite_median,leader_relative_return_finite_count,leader_relative_return_invalid_count,leader_relative_return_finite_mean,leader_relative_return_finite_median,vwap_deviation_finite_count,vwap_deviation_invalid_count,vwap_deviation_finite_mean,vwap_deviation_finite_median,volume_acceleration_5_20_finite_count,volume_acceleration_5_20_invalid_count,volume_acceleration_5_20_finite_mean,volume_acceleration_5_20_finite_median,amount_curve_surprise_finite_count,amount_curve_surprise_invalid_count,amount_curve_surprise_finite_mean,amount_curve_surprise_finite_median
primary_development_2022_2023_partial,fu_r3_core_pullback,120,21678,6395.0,0.29499953870283235,12318.0,0.5682258510932743,579.0,0.026709106006089122,1259.0,0.05807731340529569,21678.0,1.0,21678.0,1.0,21678.0,1.0,15583.0,0.7188393763262294,7470.0,0.3445889842236369,21678.0,1.0,21678,0,0.8227030818067986,0.8125,21678,0,0.8257652190756751,0.8333333333333334,21678,0,0.017493333761217856,0.01138815032011736,21678,0,0.012085673495062019,0.00995149160637454,11892,9786,1.6415420084702077,0.5073675283570336,21678,0,3.669141411243748,1.6619529302927305
primary_development_2022_2023_partial,fu_r3_core_pullback,240,15915,4818.0,0.30273327049952875,8484.0,0.5330819981149859,1293.0,0.08124410933081998,4227.0,0.2655984919886899,15915.0,1.0,15915.0,1.0,15915.0,1.0,11401.0,0.7163682060948791,5544.0,0.3483506126295947,15915.0,1.0,15915,0,0.8237118488265313,0.8148148148148148,15915,0,0.8299099273428637,0.84,15915,0,0.017694548872746792,0.011152616161887563,15915,0,0.012334488315097503,0.0099204184609345,8978,6937,1.8393636876801134,0.5384544638207113,15915,0,4.444986718619539,1.7886886812465677
primary_development_2022_2023_partial,ht_r3_core_pullback,10,116070,32093.0,0.2764969415008185,54191.0,0.4668820539329715,18602.0,0.16026535711208753,42938.0,0.3699319376238477,42150.0,0.3631429309899199,116070.0,1.0,116070.0,1.0,95030.0,0.8187300766778668,116070.0,1.0,74912.0,0.6454036357370552,116070,0,0.8226972242696082,0.8148148148148148,116070,0,0.7121969326169406,0.7,116070,0,0.011313973450380758,0.007391331454067262,116070,0,0.00863121253040299,0.007198758897920876,116070,0,0.22062745036109796,0.09610104645604889,115881,189,1.5799862267576437,0.6338014081284404
primary_development_2022_2023_partial,ht_r3_core_pullback,20,91775,26149.0,0.2849250885317352,41927.0,0.456845546172705,11541.0,0.12575320076273494,30935.0,0.3370743666575865,37312.0,0.4065595205666031,91775.0,1.0,91775.0,1.0,76094.0,0.8291364750749115,91775.0,1.0,61453.0,0.6696050122582402,91775,0,0.8273065182224298,0.825,91775,0,0.730741387865075,0.7301587301587301,91775,0,0.013431346678641078,0.00875827339516794,91775,0,0.009453904688833965,0.007992069403521151,91775,0,0.24032978705988725,0.12144236960721178,91652,123,1.452045168123681,0.6413855592090079
primary_development_2022_2023_partial,ht_r3_core_pullback,40,66342,18980.0,0.28609327424557596,31336.0,0.4723402972475958,4538.0,0.06840312321003286,18677.0,0.281526031774743,28459.0,0.42897410388592444,66342.0,1.0,66342.0,1.0,55511.0,0.8367399234270899,66342.0,1.0,44969.0,0.6778360616200898,66342,0,0.8311430765047495,0.8271604938271605,66342,0,0.7399313118701321,0.7441860465116279,66342,0,0.015382814463354625,0.009867643600278243,66342,0,0.010029076952171713,0.008488116745789864,66342,0,0.24185150207536346,0.12170796090419056,66261,81,1.489757188120744,0.740954963512725
primary_development_2022_2023_partial,ht_r3_core_pullback,60,54528,15703.0,0.2879804870892019,27655.0,0.5071706279342723,2445.0,0.0448393485915493,10857.0,0.1991087147887324,23405.0,0.4292290199530516,54528.0,1.0,54528.0,1.0,45714.0,0.8383582746478874,54528.0,1.0,37345.0,0.6848774941314554,54528,0,0.8329766981195312,0.8271604938271605,54528,0,0.74201787018321,0.7478632478632479,54528,0,0.016344055532386437,0.010504288156344596,54528,0,0.010203036437114173,0.008672251895604388,54528,0,0.24525770648452214,0.12842582221878918,54505,23,1.5880750074357586,0.8255350357047064
primary_development_2022_2023_partial,ht_r3_core_pullback,120,38088,10885.0,0.28578554925435834,21916.0,0.5754043268220962,845.0,0.022185465238395295,2671.0,0.07012707414408738,16586.0,0.4354652383952951,38088.0,1.0,38088.0,1.0,31850.0,0.8362213820625919,38088.0,1.0,26227.0,0.688589582020584,38088,0,0.8353352437889816,0.8375,38088,0,0.7452566515125202,0.75,38088,0,0.017918467643247758,0.01146137022348586,38088,0,0.01062656479316374,0.009121468095062424,38088,0,0.2427042367019774,0.12374734100017948,38088,0,1.9654520576809456,1.032974376986308
primary_development_2022_2023_partial,ht_r3_core_pullback,240,28805,8186.0,0.284186773129665,15469.0,0.5370248220795001,2547.0,0.088422148932477,8484.0,0.2945321992709599,12331.0,0.42808540183995836,28805.0,1.0,28805.0,1.0,23893.0,0.829474049644159,28805.0,1.0,19777.0,0.6865821905919112,28805,0,0.8365902481779763,0.8375,28805,0,0.7499623125800361,0.7578947368421053,28805,0,0.01748408277949734,0.01085631912423508,28805,0,0.010493440420028064,0.008828750603805613,28805,0,0.24488869637533262,0.12396694214876036,28805,0,2.4200504830428358,1.169848535340945
primary_development_2022_2023_partial,ng_r1_auction_reclaim,10,323179,74401.0,0.23021607220766202,170178.0,0.5265750559287578,40353.0,0.12486269219225259,106935.0,0.330884741892264,323179.0,1.0,103396.0,0.3199341541374904,86987.0,0.26916043431039766,323179.0,1.0,156887.0,0.48544924020434493,274195.0,0.8484307458095978,323179,0,0.5422817359289839,0.55,323179,0,0.6738800715436525,0.6909090909090909,323179,0,0.0015921960957413482,0.0008281678893427014,323179,0,0.0043610844639620045,0.0034673281597501493,219909,103270,0.7813265568733938,0.23651554244993234,322809,370,1.155131578042299,0.2332339760262745
primary_development_2022_2023_partial,ng_r1_auction_reclaim,20,222984,56875.0,0.2550631435439314,118406.0,0.5310067090015427,22939.0,0.10287285186381086,69854.0,0.313269113478994,222984.0,1.0,77550.0,0.3477828005596814,76510.0,0.34311878879202096,222984.0,1.0,104648.0,0.46930721486743443,191897.0,0.8605864097872493,222984,0,0.5587138199972789,0.575,222984,0,0.6877027665130323,0.7058823529411765,222984,0,0.0037061201332952843,0.0021444444583289587,222984,0,0.005410935380686651,0.004404478200313866,151142,71842,0.9293659939910355,0.2943213606865107,222772,212,1.1652127095692728,0.29343758884942783
primary_development_2022_2023_partial,ng_r1_auction_reclaim,40,149097,39288.0,0.2635063079740035,79174.0,0.5310234277014293,10546.0,0.0707324761732295,44478.0,0.2983158614861466,149097.0,1.0,54070.0,0.3626498185744851,56611.0,0.37969241500499673,149097.0,1.0,68911.0,0.46218904471585615,128989.0,0.8651347780304097,149097,0,0.56697373124482,0.5875,149097,0,0.6935750134875946,0.7142857142857143,149097,0,0.005209232691608002,0.002874269486403982,149097,0,0.005930555101381864,0.00479896927414547,100855,48242,1.0288287784770678,0.30631499946392204,148990,107,1.241631367899368,0.3817054744877104
primary_development_2022_2023_partial,ng_r1_auction_reclaim,60,117566,30918.0,0.26298419611112056,63004.0,0.5359032373305207,5986.0,0.05091608117993297,30087.0,0.25591582600411683,117566.0,1.0,43567.0,0.370574826055152,46729.0,0.3974703570760254,117566.0,1.0,53756.0,0.4572410390759233,101652.0,0.8646377353996904,117566,0,0.5727786584231266,0.5925925925925926,117566,0,0.695648768255834,0.7151162790697675,117566,0,0.0060154021663672815,0.003237227007444438,117566,0,0.006127058368229105,0.004850289822346365,79042,38524,1.0500128175588832,0.31406261279847514,117537,29,1.3646158865391713,0.4592905914322991
