sample_group,metric,horizon,strategy_id,ma_period,observed_count,positive_count,mean_exact,min_exact,max_exact,q01,q05,q25,q50,q75,q95,q99,positive_q99,tail_estimate_method
primary_development_2022_2023_partial,gross_return,60m,s2_reclaim_daily_trend,60,166378,74726,0.00043733219533696944,-0.13953488372093015,0.15771230502599654,-0.03738410528287649,-0.019797593856828766,-0.00620055289349759,-5.297167091234786e-07,0.005863229932729796,0.023019017329212146,0.04890035452426669,0.06980939325498224,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,1d,s2_reclaim_daily_trend,60,166187,79207,0.00015706135517388396,-0.20318725099601598,0.2675675675675675,-0.08893480731476286,-0.05004034772466146,-0.016206904533335457,-0.000361870866073143,0.015002342847319331,0.052730689502939125,0.10280254659826833,0.11984020786707845,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,2d,s2_reclaim_daily_trend,60,166146,80010,0.00014087756711808632,-0.2828685258964142,0.3811802232854866,-0.11383964045198657,-0.06560894866005727,-0.022420975153530392,-0.0006012133097326885,0.02004516625560194,0.07091461173699833,0.13609180543929128,0.17487319053740916,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,3d,s2_reclaim_daily_trend,60,166092,78983,-0.00015160240099101917,-0.34794156706507307,0.5199362041467304,-0.13420110139713287,-0.07866551744830863,-0.02764789770511238,-0.0016659279753414085,0.0235756500121421,0.08431282600767913,0.1665634335944325,0.2156738405157975,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5d,s2_reclaim_daily_trend,60,166008,77633,-0.000998927169902314,-0.4422174840085288,0.838915470494418,-0.16503252247044956,-0.1010261050035751,-0.0380608513813934,-0.0033433348267379297,0.030264304699796494,0.10730097522323595,0.21258466262602188,0.2656255412667998,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5m,s2_reclaim_positive_slope,60,208486,38384,-0.002852516002862022,-0.10257240456325079,0.11818569279221958,-0.018033025547975173,-0.010440069066752896,-0.005272772172964207,-0.0030162529300138408,-0.0009842324112519344,0.005606491008841653,0.01683802711867408,0.03791700907856847,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,15m,s2_reclaim_positive_slope,60,208481,52631,-0.002763666993560181,-0.1219225713879023,0.14876518922674276,-0.025140741214314154,-0.014107242697084318,-0.006417724654560479,-0.003016252930013861,4.7456058135730206e-05,0.010186871272430337,0.027114577516138157,0.05094603376219102,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,30m,s2_reclaim_positive_slope,60,208469,61909,-0.0026734976499542635,-0.11482751428365734,0.1592834268255654,-0.0306925219782536,-0.017578797850502384,-0.007509576849081339,-0.0030162529300138937,0.0010213458752520168,0.014205304496027998,0.03655934767825771,0.0621459331803041,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,60m,s2_reclaim_positive_slope,60,208428,71697,-0.0026212065200894004,-0.14885289872000462,0.15422035189384897,-0.03972643625395373,-0.0228509869600563,-0.009347372930506989,-0.0030163979562747548,0.0027440194634093776,0.02008630890009888,0.04758218126576318,0.07471350982826404,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,1d,s2_reclaim_positive_slope,60,208180,91587,-0.0026213320802122306,-0.20559063978487147,0.26374426317790167,-0.08898718775201463,-0.05210512631117662,-0.019186679221256064,-0.003058588130687284,0.012295550019898642,0.049695259476774514,0.09930777248751467,0.1187815961717102,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,2d,s2_reclaim_positive_slope,60,208146,95876,-0.0022541564039236313,-0.28503157580638416,0.3770142343901246,-0.11319716765998444,-0.06713480897294546,-0.024897270213506784,-0.0029497751119297714,0.01759670254718306,0.0674838777539854,0.1314814711976094,0.1711778616747613,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,3d,s2_reclaim_positive_slope,60,208092,96831,-0.002107003935716378,-0.34990834022395323,0.5153516921175387,-0.13357874064219974,-0.07967182880339317,-0.029845385983053006,-0.003195351222031907,0.021863394713901373,0.08104483828762939,0.16080144351633968,0.20881940368892046,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5d,s2_reclaim_positive_slope,60,207996,96860,-0.0022775215964085964,-0.44389989715669853,0.8333688363184912,-0.16485515442007448,-0.10127869583203308,-0.03958265373739251,-0.004306333450264817,0.029526375042567877,0.10465284559539449,0.20560103977346317,0.2619641338617921,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5m,s2_reclaim_positive_slope,60,208486,81484,0.00016423229328904615,-0.09985734664764634,0.1215686274509804,-0.0150622040350144,-0.007446275988507101,-0.0022633460671570775,0.0,0.002035880480563746,0.008648831000702541,0.019914346755438316,0.02955689280871753,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,15m,s2_reclaim_positive_slope,60,208481,86804,0.00025335010444950276,-0.11926605504587162,0.1522406384284838,-0.022191423229637887,-0.011124544206127305,-0.003411762463072404,0.0,0.0030729778666436854,0.013243068647053218,0.030221987604815835,0.0444968671027735,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,30m,s2_reclaim_positive_slope,60,208469,89740,0.00034379224442490826,-0.11214953271028039,0.16279069767441867,-0.02776000023027154,-0.014606602126951529,-0.004506917923459467,0.0,0.0040476669348307025,0.017273659151068266,0.03969533176902773,0.05654926158661749,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,60m,s2_reclaim_positive_slope,60,208428,92579,0.00039624157473578596,-0.1462778568041726,0.15771230502599654,-0.03682124551360709,-0.01989474160269351,-0.006350274033152058,-1.313333273766499e-07,0.005777699396155606,0.02317245581786896,0.050751513597367716,0.07135511004423846,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,1d,s2_reclaim_positive_slope,60,208180,100203,0.00039611563474565756,-0.20318725099601598,0.2675675675675675,-0.08623102941713828,-0.04923738579031903,-0.016219347947010337,-4.246328066815435e-05,0.015358126945310765,0.052870984669209586,0.10263359429704491,0.11971095594430967,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,2d,s2_reclaim_positive_slope,60,208146,102209,0.0007644021563340666,-0.2828685258964142,0.3811802232854866,-0.11051425367141536,-0.06431253892690662,-0.021947215636963637,6.66789386280683e-05,0.020675317464076845,0.07071342024500452,0.13490463061498809,0.17014207252826916,duckdb_approx_quantile_per_ma_period
