sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count,missing_count,missing_fraction,observed_fraction
primary_development_2022_2023_partial,s2_reclaim_bull_stack,20,gross_return,15m,71244,-7.043343934166202e-05,0.0,0.0107833389718462,0.4110100499691202,0.9779793452836671,71246,331,3035,1,71246,71246,2,2.8071751396569632e-05,0.9999719282486035
primary_development_2022_2023_partial,s2_reclaim_bull_stack,40,gross_return,15m,29834,0.0001262967622909,0.0,0.0104366227514769,0.4218006301535161,1.0418913716377032,29835,331,2947,1,29835,29835,1,3.3517680576504107e-05,0.9999664823194235
primary_development_2022_2023_partial,s2_reclaim_bull_stack,60,gross_return,15m,13079,0.0005885674661686,0.0,0.0104511750437046,0.4498050309656701,1.2065706205164508,13079,326,2623,1,13079,13079,0,0.0,1.0
primary_development_2022_2023_partial,s2_reclaim_bull_stack,120,gross_return,15m,2467,0.0006995881856094,0.0,0.0105971542555221,0.4783137413862992,1.2323682295373553,2467,279,1194,1,2467,2467,0,0.0,1.0
primary_development_2022_2023_partial,s2_reclaim_bull_stack,240,gross_return,15m,361,-9.804063830174378e-05,0.0,0.010940889820167,0.4764542936288088,0.9730059481884388,361,116,251,1,361,361,0,0.0,1.0
primary_development_2022_2023_partial,s2_reclaim_daily_trend,10,gross_return,15m,461749,-9.987887535228768e-06,0.0,0.0093830274473951,0.3993749851109585,0.9962995552360636,461774,331,3048,1,461774,461774,25,5.413903771108811e-05,0.9999458609622889
primary_development_2022_2023_partial,s2_reclaim_daily_trend,20,gross_return,15m,318843,3.897204693978608e-05,0.0,0.0091330870654025,0.4030384860260378,1.0146397144538934,318855,331,3048,1,318855,318855,12,3.7634661523262925e-05,0.9999623653384767
primary_development_2022_2023_partial,s2_reclaim_daily_trend,40,gross_return,15m,214231,0.0001278050014373,0.0,0.0091159091080795,0.4112943504908253,1.0486556019356537,214241,331,3043,1,214241,214241,10,4.6676406476818165e-05,0.9999533235935232
primary_development_2022_2023_partial,s2_reclaim_daily_trend,60,gross_return,15m,166416,0.0002613513769847,0.0,0.0087598566318668,0.4221168637630997,1.104937956018205,166421,331,3043,1,166421,166421,5,3.0044285276497556e-05,0.9999699557147235
primary_development_2022_2023_partial,s2_reclaim_daily_trend,120,gross_return,15m,72269,0.0001559906599833,0.0,0.0082566438919871,0.42006946270185,1.064161978211322,72271,331,3035,1,72271,72271,2,2.7673617356892808e-05,0.9999723263826431
primary_development_2022_2023_partial,s2_reclaim_daily_trend,240,gross_return,15m,77081,0.0001513014959551,0.0,0.0090963718171051,0.4050544232690287,1.058544023798301,77085,331,3012,1,77085,77085,4,5.189076992929882e-05,0.9999481092300707
primary_development_2022_2023_partial,s2_reclaim_positive_slope,10,gross_return,15m,536259,0.0001334608997523,0.0,0.0084848953672885,0.4068127527929601,1.056303768110388,536283,331,3072,1,536283,536283,24,4.4752490755813626e-05,0.9999552475092441
primary_development_2022_2023_partial,s2_reclaim_positive_slope,20,gross_return,15m,373426,9.085825492014222e-05,0.0,0.0083806646753317,0.404013111031369,1.0377051532942252,373443,331,3069,1,373443,373443,17,4.5522342097723077e-05,0.9999544776579022
primary_development_2022_2023_partial,s2_reclaim_positive_slope,40,gross_return,15m,260779,0.0001588875968275,0.0,0.0086606797113092,0.4105238535311509,1.064452781021207,260789,331,3064,1,260789,260789,10,3.834517560173167e-05,0.9999616548243982
primary_development_2022_2023_partial,s2_reclaim_positive_slope,60,gross_return,15m,208481,0.0002533501044495,0.0,0.0089312433343213,0.4163640811392884,1.099911148925968,208487,331,3048,1,208487,208487,6,2.877877277719954e-05,0.9999712212272228
primary_development_2022_2023_partial,s2_reclaim_positive_slope,120,gross_return,15m,133845,0.0002107533140196,0.0,0.009378539491668,0.4121558519182636,1.0780440414405528,133850,331,3040,1,133850,133850,5,3.735524841240194e-05,0.9999626447515876
primary_development_2022_2023_partial,s2_reclaim_positive_slope,240,gross_return,15m,102831,0.0001697413795284,0.0,0.009088910372965,0.4063560599430132,1.0646038541861302,102833,331,3020,1,102833,102833,2,1.9449009559188198e-05,0.9999805509904408
primary_development_2022_2023_partial,s2_reclaim_recent_high,10,gross_return,15m,658094,-0.0002074989456648,-0.0005727376861398,0.008021584922928,0.3759630083240388,0.916163788381848,658158,331,3073,1,658158,658158,64,9.724108800622343e-05,0.9999027589119938
