sample_group,selection_ranker,selection_seed,strategy_id,policy_id,exit_reason,exit_count,total_pnl,mean_trade_net_return
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,time_stop,193,11141.66545549476,0.0045343896802636716
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,trailing_stop,162,83228.17769948827,0.036790566212266444
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_1d,time_stop,1250,-46228.898804014134,-0.0024959080545595143
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_2d,time_stop,696,-24708.671814846857,-0.0018561179213950367
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_3d,time_stop,406,-22922.018830694287,-0.003018083797708055
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,next_open_5d,time_stop,335,-16994.275233080745,-0.0019364826155125368
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,stop_loss,276,-136087.7955332478,-0.03423907940062579
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,take_profit,43,32140.45183365703,0.05622451616722261
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,time_stop,268,766.2361752792685,0.00037627103034489285
primary_development_2022_2023_partial,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,trailing_stop,188,57867.26771869235,0.021254807340379968
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,stop_loss,456,-148200.75954743303,-0.0256133338654971
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,take_profit,94,45755.403326434025,0.04105927067764003
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,time_stop,234,-4856.0320073720595,-0.001986182366433622
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,trailing_stop,361,53151.430311149605,0.012030804363305492
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,stop_loss,214,-149332.83093723288,-0.04500603946586546
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,time_stop,139,1557.7985893387986,0.0008685945431021175
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,trailing_stop,179,112192.75596721486,0.04220636343403024
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_1d,time_stop,1376,-56376.10400941015,-0.003278829705771223
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_2d,time_stop,564,-38172.74770505873,-0.0041034725433877345
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_3d,time_stop,494,-42735.97633510716,-0.00504448653195285
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,next_open_5d,time_stop,214,-2163.9224275901925,0.0007199080016760277
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,stop_loss,302,-152421.30826623418,-0.035568917556021956
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,take_profit,55,44348.24701370228,0.059859383142056334
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,time_stop,228,-4864.337499189882,-0.0015267018908866094
primary_development_2022_2023_partial,flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,trailing_stop,246,76423.22832543516,0.02265699464862633
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,stop_loss,467,-158320.8300325794,-0.023539512979362395
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,take_profit,96,48089.411063284104,0.03575081166674869
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,time_stop,321,-489.02822683140766,-0.0001284034321664243
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,trailing_stop,363,66169.6023961291,0.013333845110037323
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,stop_loss,210,-164301.97986580714,-0.04203118019847946
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,time_stop,178,4244.707651979634,0.001759063407862941
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,trailing_stop,207,145018.32273361826,0.03816175063190577
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_1d,time_stop,1520,-49066.51865672294,-0.0021745189848594412
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_2d,time_stop,607,-24137.45184352114,-0.001954724703139759
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_3d,time_stop,555,-20549.12491253629,-0.001976536799042325
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_5d,time_stop,335,-13335.048538904774,-0.001549804206144216
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,stop_loss,290,-152720.8500308594,-0.03248993617726957
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,take_profit,49,48567.711249980064,0.06090414641744935
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,time_stop,277,-4853.427706692371,-0.0010030680194895527
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,trailing_stop,210,73370.56758375854,0.02188246039378068
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,stop_loss,302,-112046.60309200447,-0.022953986073541276
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,take_profit,52,31295.086670485318,0.03769294453552496
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,time_stop,210,-4718.3002957430535,-0.001421989618817241
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,trailing_stop,248,56527.48045821303,0.014185182708400721
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,stop_loss,220,-141986.8511654687,-0.04567077063871679
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,time_stop,178,3863.018447022442,0.0017053324089980908
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,trailing_stop,185,89738.38836330676,0.036238738729186794
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_1d,time_stop,1021,-37545.16470365305,-0.002615451862872068
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_2d,time_stop,830,-22338.642016765607,-0.0012963080483175612
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_3d,time_stop,555,-26825.125121548997,-0.0025058111825658168
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_5d,time_stop,335,-20991.527331520876,-0.0032500531422591317
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,stop_loss,200,-109717.04874617056,-0.03317375494741065
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,take_profit,33,30741.987296831612,0.05913433848591654
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,time_stop,192,1126.208587739054,0.0004754724150817207
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,trailing_stop,138,51408.2043492635,0.023224287427699174
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,stop_loss,311,-131082.91679972783,-0.024253919045223334
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,take_profit,70,51470.58647323316,0.043081751696759436
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,time_stop,176,2862.30850668986,0.0007844173376637266
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,trailing_stop,224,55641.306749551935,0.014169298565854707
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,stop_loss,199,-156981.58326091798,-0.043501582047322525
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,time_stop,159,8467.448038950844,0.0028242507355476995
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,trailing_stop,209,147287.7203606777,0.03888386366660149
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_1d,time_stop,1049,-23727.395850557234,-0.001351669322989405
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_2d,time_stop,642,23189.363654868823,0.0016692145022360503
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_3d,time_stop,555,-13632.907696797294,-0.001094537535117018
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_5d,time_stop,335,-32073.211199040063,-0.005451841010124531
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,stop_loss,325,-168925.45468872,-0.03462336813336886
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,take_profit,78,67042.48779770335,0.05827781399691007
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,time_stop,291,-462.1283196562081,-0.00022509947525617521
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,trailing_stop,205,72539.61429331901,0.023544511924612616
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,stop_loss,371,-140250.91195266132,-0.023182708979479036
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,take_profit,101,56995.45409877005,0.03642612654316773
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,time_stop,221,-3496.413126757634,-0.0008841010772157714
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,trailing_stop,326,55356.54198739835,0.01086921114354754
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,stop_loss,212,-157161.78697489074,-0.042790821938542584
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,time_stop,181,17748.831942990422,0.006067895931147127
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,trailing_stop,189,121918.1300064192,0.03781251772268341
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_1d,time_stop,595,-23706.992280771432,-0.002486850169459226
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_2d,time_stop,830,-42310.65962015987,-0.0030294274606982013
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_3d,time_stop,554,-40789.81827364515,-0.004550350922444181
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_5d,time_stop,335,-4952.4600237970735,-0.00010843064735664667
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,stop_loss,312,-170002.02910725644,-0.03266814423771535
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,take_profit,61,57559.66836218504,0.05744934572675757
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,time_stop,271,-7543.999052598168,-0.0017004787658938354
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,trailing_stop,247,83421.76314705798,0.021137347522649296
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,stop_loss,355,-118272.88728314126,-0.02336839251174753
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,take_profit,70,33565.67435832005,0.036756224435074404
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,time_stop,188,696.3042516131245,0.0005564421945443871
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,trailing_stop,274,50530.12848883879,0.01324989532959201
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,stop_loss,197,-139432.56083251242,-0.04282823072922701
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,time_stop,140,6053.0961313920625,0.0028532886836350724
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,trailing_stop,174,108956.639017746,0.03865936978137741
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_1d,time_stop,932,-37597.655199033354,-0.002371754010414676
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_2d,time_stop,527,-15662.79768357203,-0.001251642865176498
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_3d,time_stop,553,-9890.56046835376,-0.000485156836677119
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_5d,time_stop,334,-33553.07267292142,-0.005333052467409331
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,stop_loss,177,-80646.10063815993,-0.0341876288966793
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,take_profit,32,21042.34134499902,0.061147912789046084
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,time_stop,122,-4320.483815161936,-0.003338250443946271
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,trailing_stop,129,29705.087368760876,0.017543610855329596
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,stop_loss,423,-150003.65145782687,-0.025899057040328227
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,take_profit,84,40507.23179571501,0.0369943872409433
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,time_stop,316,796.8986271274798,-0.0001344587887581648
