sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,100000.0,37583.7965221709,67579.5606835867,-0.3242043932,-0.3762755303,2174833,823,814,2170398,9,3612,812,0.4433497537,-0.0021585754,1,2,0,29995.7641614158,"[{'year': 2022, 'net_return': -0.3343211028, 'maximum_drawdown': -0.3425096109}, {'year': 2023, 'net_return': 0.0151975821, 'maximum_drawdown': -0.3762755303}]",1,302,52,210,248,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,next_open_1d,100000.0,27272.2436371481,58850.1104123103,-0.4114988959,-0.4532128601,2174833,1038,1023,2170542,15,3253,1021,0.4005876592,-0.0026154519,0,2,0,31577.8667751622,"[{'year': 2022, 'net_return': -0.3794895412, 'maximum_drawdown': -0.3834851458}, {'year': 2023, 'net_return': -0.0515855199, 'maximum_drawdown': -0.4532128601}]",0,0,0,1021,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,100000.0,41624.7008443496,74606.6773620256,-0.2539332264,-0.3499774433,2174833,570,565,2170365,5,3898,563,0.4564831261,-0.0024637219,3,2,0,32981.9765176759,"[{'year': 2022, 'net_return': -0.3031415314, 'maximum_drawdown': -0.3499774433}, {'year': 2023, 'net_return': 0.0706144896, 'maximum_drawdown': -0.3018661379}]",3,200,33,192,138,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,100000.0,28315.1287329421,90380.4102479779,-0.0961958975,-0.3124584874,2091935,790,784,2087866,6,3279,781,0.4455825864,-0.0015560383,4,3,0,62065.2815150358,"[{'year': 2022, 'net_return': -0.0412880599, 'maximum_drawdown': -0.2322888983}, {'year': 2023, 'net_return': -0.0572725083, 'maximum_drawdown': -0.3124584874}]",4,311,70,176,224,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,100000.0,79735.3718215875,102459.3718215875,0.0245937182,-0.1986136004,2091935,570,568,2087556,2,3809,567,0.5079365079,-0.0001429126,251,1,0,22724.0,"[{'year': 2022, 'net_return': -0.0520367775, 'maximum_drawdown': -0.1986136004}, {'year': 2023, 'net_return': 0.0808369923, 'maximum_drawdown': -0.1243808093}]",251,199,0,159,209,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,next_open_1d,100000.0,40652.6565877148,84768.6815754635,-0.1523131842,-0.3642005489,2091935,1058,1051,2087921,7,2956,1049,0.4327931363,-0.0013516693,2,2,0,44116.0249877487,"[{'year': 2022, 'net_return': 0.0083062274, 'maximum_drawdown': -0.2249373204}, {'year': 2023, 'net_return': -0.1592962606, 'maximum_drawdown': -0.3642005489}]",2,0,0,1049,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,next_open_2d,100000.0,85363.1895748728,120025.1076086356,0.2002510761,-0.180223278,2091935,647,644,2088098,3,3190,642,0.4906542056,0.0016692145,1,2,0,34661.9180337628,"[{'year': 2022, 'net_return': 0.0598586603, 'maximum_drawdown': -0.1682943775}, {'year': 2023, 'net_return': 0.1324633378, 'maximum_drawdown': -0.180223278}]",1,0,0,642,0,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,100000.0,55599.1671805859,70012.2705864254,-0.2998772941,-0.3112020358,2091935,912,900,2087343,12,3680,899,0.4438264739,-0.0021644095,1,1,0,14413.1034058395,"[{'year': 2022, 'net_return': -0.3079874857, 'maximum_drawdown': -0.3036182525}, {'year': 2023, 'net_return': 0.0117197181, 'maximum_drawdown': -0.3112020358}]",1,325,78,291,205,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,100000.0,25086.8055824456,68858.6055824456,-0.3114139442,-0.3716018496,1981977,1025,1022,1977653,3,3299,1019,0.4455348381,-0.0015444257,1,3,0,43771.8,"[{'year': 2022, 'net_return': -0.3527133, 'maximum_drawdown': -0.3716018496}, {'year': 2023, 'net_return': 0.0638038072, 'maximum_drawdown': -0.3452907994}]",1,371,101,221,326,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,next_open_1d,100000.0,143.1308954456,61619.5794015309,-0.383804206,-0.3915942551,1981977,601,600,1978312,1,3064,595,0.3949579832,-0.0024868502,0,5,0,61476.4485060853,"[{'year': 2022, 'net_return': -0.3146647437, 'maximum_drawdown': -0.3189969944}, {'year': 2023, 'net_return': -0.1008841464, 'maximum_drawdown': -0.3915942551}]",0,0,0,595,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,100000.0,49842.7628743424,62868.5628743424,-0.3713143713,-0.3844667348,1981977,899,892,1977513,7,3565,891,0.4624017957,-0.0021638112,1,1,0,13025.8,"[{'year': 2022, 'net_return': -0.3079344021, 'maximum_drawdown': -0.3256968}, {'year': 2023, 'net_return': -0.0915808695, 'maximum_drawdown': -0.3844667348}]",1,312,61,271,247,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,100000.0,29257.2310642107,63642.1447551508,-0.3635785524,-0.4220215882,191860,900,890,190769,10,191,887,0.4599774521,-0.0022409934,2,3,0,34384.9136909401,"[{'year': 2022, 'net_return': -0.3480352999, 'maximum_drawdown': -0.4220215882}, {'year': 2023, 'net_return': -0.0238406352, 'maximum_drawdown': -0.3950506796}]",2,355,70,188,274,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,100000.0,45995.9399347756,78945.9399347756,-0.2105406007,-0.2954786114,191860,521,513,191100,8,239,511,0.4755381605,-0.0025655004,0,2,0,32950.0,"[{'year': 2022, 'net_return': -0.2168478033, 'maximum_drawdown': -0.2954786114}, {'year': 2023, 'net_return': 0.0080536103, 'maximum_drawdown': -0.2712160297}]",0,197,0,140,174,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,next_open_1d,100000.0,23769.9456308365,59093.1696465846,-0.4090683035,-0.4542073778,191860,944,935,190751,9,165,932,0.4377682403,-0.002371754,1,3,0,35323.224015748,"[{'year': 2022, 'net_return': -0.3890912146, 'maximum_drawdown': -0.4526479152}, {'year': 2023, 'net_return': -0.0327006083, 'maximum_drawdown': -0.4542073778}]",1,0,0,932,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,next_open_2d,100000.0,37759.659648695,68791.1675784851,-0.3120883242,-0.3507069102,191860,533,530,191053,3,274,527,0.4288425047,-0.0012516429,1,3,0,31031.5079297901,"[{'year': 2022, 'net_return': -0.2910110079, 'maximum_drawdown': -0.3507069102}, {'year': 2023, 'net_return': -0.0297286934, 'maximum_drawdown': -0.3478902286}]",1,0,0,527,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,100000.0,18078.448005987,60746.8848488368,-0.3925311515,-0.4619194291,191860,469,463,191154,6,237,460,0.4434782609,-0.0048665606,1,3,0,42668.4368428497,"[{'year': 2022, 'net_return': -0.4340276351, 'maximum_drawdown': -0.4532636362}, {'year': 2023, 'net_return': 0.0733189218, 'maximum_drawdown': -0.4619194291}]",1,177,32,122,129,False,False
