sample_group,sample_variant,selection_ranker,strategy_id,policy_id,seed_count,resolved_seed_count,positive_seed_count,positive_seed_fraction,resolved_positive_seed_count,resolved_positive_seed_fraction,all_periods_positive_seed_count,resolved_all_periods_positive_seed_count,combined_net_return_mean,combined_net_return_median,combined_net_return_standard_deviation,combined_net_return_minimum,combined_net_return_q25,combined_net_return_q75,combined_net_return_maximum,maximum_drawdown_mean,maximum_drawdown_median,maximum_drawdown_standard_deviation,maximum_drawdown_minimum,maximum_drawdown_q25,maximum_drawdown_q75,maximum_drawdown_maximum
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_positive_slope,next_open_3d,5,1,3,0.6,0,0.0,0,0,0.03622368291825906,0.011502548991077388,0.07699501547038905,-0.05614580263483071,-0.00030856582746763284,0.05235848358382511,0.17371175047869114,-0.33735458314289807,-0.36854227698606945,0.07012532647262476,-0.40417340158690807,-0.4025192455360985,-0.2839783113814699,-0.22755968022394446
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_vwap_support,next_open_3d,5,1,3,0.6,1,1.0,2,1,-0.00500533288842957,0.009719405270429027,0.12759283094456877,-0.18424546731288483,-0.09274770156133283,0.05205801695532264,0.19018908220631814,-0.2552787241416546,-0.2525341160242637,0.034364630538992996,-0.29270331673377303,-0.28988183508087395,-0.2418392661225205,-0.19943508674684152
primary_development_2022_2023_partial,current_contract,flow_quality,ng_r1_auction_reclaim,next_open_3d,5,1,3,0.6,1,1.0,1,1,-0.011761844197343496,0.00852657073318297,0.117505560395705,-0.1961786731480586,-0.05718250404415204,0.02021793496220803,0.16580745051010215,-0.17619176508222095,-0.17124435331748444,0.04952794919231439,-0.26842667744352844,-0.1735452069575476,-0.14236493774455394,-0.1253776499479904
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,momentum_trail_4pct_5d,5,0,5,1.0,0,,0,0,0.004878953720989232,0.004878953720989232,0.0,0.004878953720989232,0.004878953720989232,0.004878953720989232,0.004878953720989232,-0.36340025244270235,-0.36340025244270235,0.0,-0.36340025244270235,-0.36340025244270235,-0.36340025244270235,-0.36340025244270235
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,momentum_trail_4pct_5d,5,5,3,0.6,3,0.6,0,0,-0.05131157822189629,0.0027232720342964534,0.17315025552052107,-0.2610788244621991,-0.24095687955156664,0.060653407418245875,0.18210113345174195,-0.25908182909473326,-0.23819741525188398,0.0628401757219278,-0.36702175036285967,-0.28643644305971905,-0.21537010444826565,-0.1883834323509379
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_amount_acceleration,next_open_5d,5,3,3,0.6,1,0.3333333333333333,1,1,0.033807921807769946,0.002711733543474981,0.12930514286777028,-0.0971940201930791,-0.09251142389316491,0.11508129291305136,0.2409520266685674,-0.26636732550415737,-0.2599813267647406,0.08662450824141675,-0.42575896085212106,-0.26054735321619626,-0.21733941521794742,-0.16820957146978144
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,next_open_5d,5,3,3,0.6,1,0.3333333333333333,1,1,0.033807921807769946,0.002711733543474981,0.12930514286777028,-0.0971940201930791,-0.09251142389316491,0.11508129291305136,0.2409520266685674,-0.26636732550415737,-0.2599813267647406,0.08662450824141675,-0.42575896085212106,-0.26054735321619626,-0.21733941521794742,-0.16820957146978144
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_1d,5,0,0,0.0,0,,0,0,-6.561919070824374e-05,-6.561919070824374e-05,0.0,-6.561919070824374e-05,-6.561919070824374e-05,-6.561919070824374e-05,-6.561919070824374e-05,-0.32580310451416183,-0.32580310451416183,0.0,-0.32580310451416183,-0.32580310451416183,-0.32580310451416183,-0.32580310451416183
primary_development_2022_2023_partial,current_contract,random_hash,s1_break_reclaim_stable3,next_open_3d,5,1,2,0.4,0,0.0,1,0,-0.05411452859654246,-0.0019142849489603986,0.13401854341655411,-0.22130878736489412,-0.20165612588752646,0.03910680949384182,0.11519974572482683,-0.30542203652328215,-0.3127550325246633,0.026038926674138086,-0.34227691828316864,-0.3128440152625469,-0.296810114982218,-0.2624241015638138
primary_development_2022_2023_partial,current_contract,sector_leader,s1_near_reversal,next_open_5d,5,0,0,0.0,0,,0,0,-0.0023993644200054343,-0.0023993644200054343,0.0,-0.0023993644200054343,-0.0023993644200054343,-0.0023993644200054343,-0.0023993644200054343,-0.3083203304989399,-0.3083203304989399,0.0,-0.3083203304989399,-0.3083203304989399,-0.3083203304989399,-0.3083203304989399
