sample_group,strategy_id,ma_period,horizon,date_count,mean_daily_return,median_daily_return,std_daily_return,positive_date_count,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,fu_r3_core_pullback,240,5d,199,0.0005621757237386527,0.004369011913417758,0.034839871368263095,111,0.5577889447236181,0.8206164234630126,0.11864782596955128,0.8317058345908911
primary_development_2022_2023_partial,ht_r3_core_pullback,10,5m,331,-0.0030833739659831315,-0.0030976227900801835,0.0008359116695980554,1,0.0030211480362537764,3.234567891886148e-194,1.5178872556228612e-97,4.451240218191947e-194
primary_development_2022_2023_partial,ht_r3_core_pullback,10,15m,331,-0.003149507881697573,-0.003145030606231832,0.001618147032096186,8,0.02416918429003021,2.8992926517059245e-114,1.5381862703572027e-84,4.026795349591562e-114
primary_development_2022_2023_partial,ht_r3_core_pullback,10,30m,331,-0.00315142749131921,-0.003217743964625757,0.0025980749762898442,27,0.08157099697885196,8.325120653586392e-67,1.6796685449658884e-60,1.1250163045387016e-66
primary_development_2022_2023_partial,ht_r3_core_pullback,10,60m,331,-0.0034356117816355964,-0.0033686269593148415,0.004102655477280013,53,0.16012084592145015,5.699780143393129e-40,5.741460623578979e-38,8.300650694261837e-40
primary_development_2022_2023_partial,ht_r3_core_pullback,10,1d,331,-0.0033227287695659895,-0.002336823702796045,0.01612085488363021,141,0.4259818731117825,0.00021342819820333004,0.008234340406513233,0.0005507312032606784
primary_development_2022_2023_partial,ht_r3_core_pullback,10,2d,331,-0.004068429464851493,-0.001552923332630175,0.021588237511845385,156,0.47129909365558914,0.0006961717366420422,0.3224854616925212,0.005221288024815316
primary_development_2022_2023_partial,ht_r3_core_pullback,10,3d,331,-0.004229126976281237,-0.0028562408064531117,0.02627115750175321,144,0.4350453172205438,0.0036905926136524764,0.020829637575436134,0.039324817972151385
primary_development_2022_2023_partial,ht_r3_core_pullback,10,5d,331,-0.004345813910257115,-0.0024163211006595557,0.03348985554732592,157,0.4743202416918429,0.018991872988258468,0.37919070006212147,0.1589022707688458
primary_development_2022_2023_partial,ht_r3_core_pullback,20,5m,331,-0.003115803977342548,-0.003073757645778922,0.0009787490751120603,1,0.0030211480362537764,9.177235834657755e-175,1.5178872556228612e-97,1.2401670046834803e-174
primary_development_2022_2023_partial,ht_r3_core_pullback,20,15m,331,-0.0031782262804046705,-0.0030813632258502094,0.0016224450709826973,6,0.01812688821752266,5.398794378537144e-115,8.128079013302738e-88,7.568403334397865e-115
primary_development_2022_2023_partial,ht_r3_core_pullback,20,30m,331,-0.0031928178514435365,-0.0030116342938227595,0.002506983177476702,22,0.06646525679758308,4.698955537926282e-71,5.854991704520268e-66,6.7127936256089744e-71
primary_development_2022_2023_partial,ht_r3_core_pullback,20,60m,331,-0.0035390813493851032,-0.00328796476909165,0.0040055402149534215,51,0.1540785498489426,2.9792584153843785e-43,2.0047610277350594e-39,4.655091274038092e-43
primary_development_2022_2023_partial,ht_r3_core_pullback,20,1d,331,-0.0035543530878098303,-0.0021252941493970614,0.016151104765115658,143,0.43202416918429004,7.89405584650152e-05,0.015459633987649112,0.00032773542967944654
primary_development_2022_2023_partial,ht_r3_core_pullback,20,2d,331,-0.003964265331774333,-0.0017052839624270685,0.02208736972087744,152,0.459214501510574,0.001228479488743802,0.15287097030698535,0.006310651706076658
primary_development_2022_2023_partial,ht_r3_core_pullback,20,3d,331,-0.003611734468420363,-0.001958374346161773,0.027140202456088662,150,0.45317220543806647,0.016170664614843556,0.0990117771110954,0.04664614792743334
primary_development_2022_2023_partial,ht_r3_core_pullback,20,5d,331,-0.003915590847606002,-0.0006332513078367703,0.03406005048225728,163,0.49244712990936557,0.037529961172174345,0.8260214930986781,0.1670075343286477
primary_development_2022_2023_partial,ht_r3_core_pullback,40,5m,331,-0.0030762898040643323,-0.0030396026132840045,0.0008400367556028001,0,0.0,2.9774360980908633e-193,4.5719495651291e-100,4.060140133760268e-193
primary_development_2022_2023_partial,ht_r3_core_pullback,40,15m,331,-0.0031510861792648634,-0.002982819459520258,0.0016742600500995262,5,0.015105740181268883,1.7653767948508803e-110,1.491249912889426e-89,2.4073319929784732e-110
primary_development_2022_2023_partial,ht_r3_core_pullback,40,30m,331,-0.0032301961963751183,-0.0029946642322146045,0.0024834205352709453,22,0.06646525679758308,6.088556089623521e-73,5.854991704520268e-66,8.781571283110847e-73
primary_development_2022_2023_partial,ht_r3_core_pullback,40,60m,331,-0.0034887032883457337,-0.0029990689260495367,0.003891882976585153,50,0.1510574018126888,3.5931159477467926e-44,3.6201647746187974e-40,5.862891450417837e-44
