selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,s2_first_touch_reclaim,next_open_5d,-0.3355307267,-0.4302785732,True,-0.041320635,-0.0831564235,True,True,-0.2942100917
flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,-0.3925311515,-0.4619194291,False,-0.0219789967,-0.0664220966,True,True,-0.37055215480000003
flow_quality,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,-0.5272917087,-0.5577186165,False,-0.046416461,-0.0722372466,True,True,-0.48087524769999995
flow_quality,0,s2_reclaim_acceleration,momentum_trail_4pct_5d,-0.3257421392,-0.452087644,True,-0.0465369358,-0.0751989791,True,True,-0.2792052034
flow_quality,0,s2_reclaim_acceleration,next_open_1d,-0.5777414393,-0.5946357191,False,-0.046019826,-0.0669043837,True,True,-0.5317216133
flow_quality,0,s2_reclaim_acceleration,next_open_2d,-0.0870700699,-0.2551760612,False,-0.050046366,-0.073223628,True,True,-0.0370237039
flow_quality,0,s2_reclaim_acceleration,next_open_3d,-0.1786501389,-0.3725063244,False,-0.0163121711,-0.0431556571,True,True,-0.1623379678
flow_quality,0,s2_reclaim_acceleration,next_open_5d,0.2108874391,-0.2285799793,True,-0.0207609702,-0.0515828825,True,False,0.2316484093
flow_quality,0,s2_reclaim_acceleration,protect_3pct_target6pct_3d,-0.3090421325,-0.3723661606,False,-0.0091941363,-0.0381534801,True,True,-0.2998479962
flow_quality,0,s2_reclaim_bull_stack,fast_failure_2pct_target4pct_2d,-0.7049210846,-0.7151052555,False,-0.0500992064,-0.0645103146,False,True,-0.6548218782
flow_quality,0,s2_reclaim_bull_stack,momentum_trail_4pct_5d,-0.6570751123,-0.6892357493,True,-0.0607190522,-0.0756819037,True,True,-0.5963560601000001
flow_quality,0,s2_reclaim_bull_stack,next_open_1d,-0.5077768324,-0.5304759929,False,-0.0031014274,-0.0617257022,True,True,-0.5046754050000001
flow_quality,0,s2_reclaim_bull_stack,next_open_2d,-0.117771697,-0.3025937154,False,-0.0218231098,-0.0582890085,True,True,-0.09594858719999999
flow_quality,0,s2_reclaim_bull_stack,next_open_3d,-0.5415286569,-0.6033489833,False,0.044631773,-0.0246042948,True,False,-0.5861604299
flow_quality,0,s2_reclaim_bull_stack,next_open_5d,-0.3122502332,-0.499631961,False,-0.0413299553,-0.0498685535,True,True,-0.2709202779
flow_quality,0,s2_reclaim_bull_stack,protect_3pct_target6pct_3d,-0.7023045375,-0.719012878,False,-0.0541215829,-0.0662840403,True,True,-0.6481829546
flow_quality,0,s2_reclaim_daily_trend,fast_failure_2pct_target4pct_2d,-0.4735815061,-0.4907780111,False,-0.023758216,-0.0381719373,True,True,-0.4498232901
flow_quality,0,s2_reclaim_daily_trend,momentum_trail_4pct_5d,-0.3384266499,-0.4385564923,True,-0.0461074718,-0.0512980784,True,True,-0.29231917809999997
flow_quality,0,s2_reclaim_daily_trend,next_open_1d,-0.3862935389,-0.39128166,False,-0.0910052306,-0.0823447906,True,True,-0.2952883083
flow_quality,0,s2_reclaim_daily_trend,next_open_2d,0.0790138059,-0.2250962315,False,-0.0803042949,-0.0776903186,True,False,0.1593181008
flow_quality,0,s2_reclaim_daily_trend,next_open_3d,0.0718346476,-0.2356440554,False,-0.0356285755,-0.033652831,True,False,0.1074632231
flow_quality,0,s2_reclaim_daily_trend,next_open_5d,-0.0220870202,-0.3458185029,True,-0.0473848447,-0.0461184307,True,True,0.025297824499999996
