sample_group,selection_ranker,policy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
supplemental_2023_09_legacy,random_hash,next_open_2d,110,30,0.2727272727272727,108,0.9818181818181818,-0.022883203106363634,-0.0224413923,0.03995254115107894,-0.1916232644,0.0740238221,-0.059517271528181814,-0.0557368777,-0.2131095135,48.14545454545455,5296,2,2
supplemental_2023_09_legacy,random_hash,next_open_3d,110,30,0.2727272727272727,106,0.9636363636363636,-0.020062887552727268,-0.0206467694,0.03513329919317792,-0.1004562989,0.0806692331,-0.053508052224545466,-0.0495076654,-0.1136229552,33.93636363636364,3733,6,4
supplemental_2023_09_legacy,random_hash,next_open_5d,110,25,0.22727272727272727,110,1.0,-0.02416858067727273,-0.0282074718,0.030804388077895706,-0.0984624043,0.0633787884,-0.05977658420272729,-0.05664969705,-0.1088860684,20.0,2200,5,0
supplemental_2023_09_legacy,random_hash,protect_3pct_target6pct_3d,110,19,0.17272727272727273,106,0.9636363636363636,-0.029746128740000002,-0.032407061599999995,0.0344626745810517,-0.1216756353,0.0863933271,-0.058526947793636375,-0.054988071250000006,-0.1263174635,42.71818181818182,4699,251,4
supplemental_2023_09_legacy,sector_leader,fast_failure_2pct_target4pct_2d,110,20,0.18181818181818182,100,0.9090909090909091,-0.03705926195454546,-0.03876960385,0.04475622559406339,-0.1151688522,0.048981217,-0.08467939861363634,-0.08152576005,-0.1327458633,82.27272727272727,9050,5,10
supplemental_2023_09_legacy,sector_leader,momentum_trail_4pct_5d,110,25,0.22727272727272727,105,0.9545454545454546,-0.051634286986363624,-0.06255212055,0.056138501559394295,-0.1443530667,0.0514206799,-0.09338478882727273,-0.0965072295,-0.1503034332,39.59090909090909,4355,0,5
supplemental_2023_09_legacy,sector_leader,next_open_1d,110,45,0.4090909090909091,95,0.8636363636363636,-0.028494007359090908,-0.0332495037,0.056834859800474154,-0.1375624919,0.0793825809,-0.08782437321363636,-0.0877060494,-0.1575843545,94.68181818181819,10415,0,15
supplemental_2023_09_legacy,sector_leader,next_open_2d,110,45,0.4090909090909091,110,1.0,-0.02204906775454545,-0.0276975593,0.04513883943767763,-0.1096801137,0.0499776689,-0.08585301957727273,-0.08614827485000001,-0.1649658993,48.18181818181818,5300,5,0
supplemental_2023_09_legacy,sector_leader,next_open_3d,110,10,0.09090909090909091,110,1.0,-0.03791300465454546,-0.031567053,0.04783099918017591,-0.1617494503,0.0468729487,-0.08758650237727274,-0.0835576398,-0.1529166798,34.09090909090909,3750,0,0
supplemental_2023_09_legacy,sector_leader,next_open_5d,110,5,0.045454545454545456,110,1.0,-0.04226939278636363,-0.048674058150000005,0.04409386807659761,-0.0901488266,0.1188073237,-0.09196890372727273,-0.0977049478,-0.1416180992,20.0,2200,0,0
supplemental_2023_09_legacy,sector_leader,protect_3pct_target6pct_3d,110,30,0.2727272727272727,85,0.7727272727272727,-0.042804741431818186,-0.0271318449,0.058637740832460324,-0.1654246531,0.0566147838,-0.0866452606409091,-0.07821477475,-0.1609192952,60.90909090909091,6700,5,25
supplemental_2023_09_legacy,trend_structure,fast_failure_2pct_target4pct_2d,110,25,0.22727272727272727,107,0.9727272727272728,-0.033467928499999994,-0.0421322905,0.04393629174344416,-0.1231590596,0.0716975378,-0.06128656978909091,-0.0576233256,-0.1471486393,67.33636363636364,7407,14,3
supplemental_2023_09_legacy,trend_structure,momentum_trail_4pct_5d,110,19,0.17272727272727273,109,0.990909090909091,-0.03049804644,-0.03121671795,0.03123964487742108,-0.10910139,0.0463976309,-0.058272196220909095,-0.0552690157,-0.1174385626,27.654545454545456,3042,7,1
supplemental_2023_09_legacy,trend_structure,next_open_1d,110,18,0.16363636363636364,98,0.8909090909090909,-0.049041485089999996,-0.051049887099999997,0.060845789435482904,-0.1356152922,0.4403390455,-0.0738015810790909,-0.07337712295000001,-0.1467725794,95.34545454545454,10488,0,12
supplemental_2023_09_legacy,trend_structure,next_open_2d,110,28,0.2545454545454545,103,0.9363636363636364,-0.03508887283454545,-0.041073091049999996,0.043899227194030215,-0.1679849908,0.0542710111,-0.06283425305363635,-0.058878231,-0.1785092734,48.10909090909091,5292,482,7
supplemental_2023_09_legacy,trend_structure,next_open_3d,110,20,0.18181818181818182,98,0.8909090909090909,-0.036342389693636366,-0.0418934095,0.03734495113355065,-0.1081419351,0.0908552118,-0.06148398575181817,-0.062906374,-0.1115348061,33.763636363636365,3714,0,12
supplemental_2023_09_legacy,trend_structure,next_open_5d,110,24,0.21818181818181817,110,1.0,-0.02859681695363637,-0.02760610615,0.03311070339144483,-0.123630592,0.0684341069,-0.05739421967727272,-0.05164905635,-0.1410802335,20.0,2200,240,0
supplemental_2023_09_legacy,trend_structure,protect_3pct_target6pct_3d,110,31,0.2818181818181818,108,0.9818181818181818,-0.023010981700909088,-0.020734547399999997,0.03757665730782528,-0.1107499224,0.0892011245,-0.05106770452363637,-0.045859509,-0.1150323814,44.10909090909091,4852,3,2
