sample_group,trade_date,outcome_path,outcome_rows,schema_match,normalized_complete,event_rows,path_rows,reference_rows,path_id_unique,event_orphan_path_count,reference_orphan_path_count,normalized_row_parity
primary_development_2022_2023_partial,2022-07-14,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-14\outcomes.parquet,403844,True,True,403844,155356,403844,1,0,0,True
primary_development_2022_2023_partial,2022-07-15,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-15\outcomes.parquet,320958,True,True,320958,137051,320958,1,0,0,True
primary_development_2022_2023_partial,2022-07-18,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-18\outcomes.parquet,456465,True,True,456465,156447,456465,1,0,0,True
primary_development_2022_2023_partial,2022-07-19,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-19\outcomes.parquet,413064,True,True,413064,153309,413064,1,0,0,True
primary_development_2022_2023_partial,2022-07-20,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-20\outcomes.parquet,380669,True,True,380669,151277,380669,1,0,0,True
primary_development_2022_2023_partial,2022-07-21,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-21\outcomes.parquet,399694,True,True,399694,155544,399694,1,0,0,True
primary_development_2022_2023_partial,2022-07-22,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-22\outcomes.parquet,441672,True,True,441672,162580,441672,1,0,0,True
primary_development_2022_2023_partial,2022-07-25,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-25\outcomes.parquet,420852,True,True,420852,151030,420852,1,0,0,True
primary_development_2022_2023_partial,2022-07-26,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-26\outcomes.parquet,483687,True,True,483687,168120,483687,1,0,0,True
primary_development_2022_2023_partial,2022-07-27,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-27\outcomes.parquet,442605,True,True,442605,160233,442605,1,0,0,True
primary_development_2022_2023_partial,2022-07-28,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-28\outcomes.parquet,396527,True,True,396527,148863,396527,1,0,0,True
primary_development_2022_2023_partial,2022-07-29,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-07-29\outcomes.parquet,381267,True,True,381267,149387,381267,1,0,0,True
primary_development_2022_2023_partial,2022-08-01,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-01\outcomes.parquet,387550,True,True,387550,146739,387550,1,0,0,True
primary_development_2022_2023_partial,2022-08-02,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-02\outcomes.parquet,302857,True,True,302857,127760,302857,1,0,0,True
primary_development_2022_2023_partial,2022-08-03,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-03\outcomes.parquet,363404,True,True,363404,136267,363404,1,0,0,True
primary_development_2022_2023_partial,2022-08-04,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-04\outcomes.parquet,365425,True,True,365425,144994,365425,1,0,0,True
primary_development_2022_2023_partial,2022-08-05,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-05\outcomes.parquet,418266,True,True,418266,153705,418266,1,0,0,True
primary_development_2022_2023_partial,2022-08-08,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-08\outcomes.parquet,404001,True,True,404001,154861,404001,1,0,0,True
primary_development_2022_2023_partial,2022-08-09,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-09\outcomes.parquet,374509,True,True,374509,151949,374509,1,0,0,True
primary_development_2022_2023_partial,2022-08-10,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-08-10\outcomes.parquet,372914,True,True,372914,151427,372914,1,0,0,True
