sample_group,sample_variant,selection_ranker,strategy_id,policy_id,signal_year,observed_seed_count,positive_seed_count,positive_seed_fraction,net_return_mean,net_return_median,net_return_standard_deviation,net_return_minimum,net_return_q25,net_return_q75,net_return_maximum
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2022,5,5,1.0,0.09698243149182062,0.09698243149182062,0.0,0.09698243149182062,0.09698243149182062,0.09698243149182062,0.09698243149182062
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2023,5,0,0.0,-0.05113671108622819,-0.05113671108622819,0.0,-0.05113671108622819,-0.05113671108622819,-0.05113671108622819,-0.05113671108622819
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_2d,2022,5,1,0.2,-0.11741872039016898,-0.10324185219151238,0.14409718673356262,-0.28983391893436106,-0.2623462257344802,-0.02471393121622978,0.09304232612573848
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_2d,2023,5,5,1.0,0.11394116524661779,0.11972375242538624,0.02781970298583815,0.08163398530743682,0.08728595122673677,0.12225621129179132,0.15880592598173782
primary_development_2022_2023_partial,current_contract,flow_quality,s1_break_reclaim_stable3,next_open_3d,2022,5,3,0.6,-9.04741333860315e-05,0.05278722390709878,0.10977821165823343,-0.1829450027130467,-0.05808667197534023,0.055205210790160164,0.13258686932419783
primary_development_2022_2023_partial,current_contract,flow_quality,s1_break_reclaim_stable3,next_open_3d,2023,5,0,0.0,-0.04846755830005116,-0.02759452728051537,0.04892687021222615,-0.1452024099125585,-0.034246158816651495,-0.023724322438098633,-0.011570373052431804
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_acceleration,next_open_3d,2022,5,4,0.8,0.1536681779359916,0.11012692107227062,0.14629042676074408,-0.028966243490273658,0.08676345711310751,0.18991565327691884,0.41050110170793475
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_acceleration,next_open_3d,2023,5,0,0.0,-0.10671261046227047,-0.10442946879922521,0.02768737174233744,-0.15627315277336118,-0.110415074702653,-0.0866222671920811,-0.07582308884403188
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_daily_trend,next_open_5d,2022,5,3,0.6,0.029193594847224103,0.04970787600457971,0.09390488972034418,-0.09386523600583485,-0.04848919599364376,0.06340213631073643,0.17521239392028298
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_daily_trend,next_open_5d,2023,5,2,0.4,0.007322193499375152,-0.0006432446389763591,0.027438377119350363,-0.02456914406139732,-0.016443977181183067,0.032239953729786386,0.046027379648646116
primary_development_2022_2023_partial,current_contract,sector_leader,ht_r3_core_pullback,next_open_5d,2022,5,0,0.0,-0.19444436473889748,-0.19444436473889748,0.0,-0.19444436473889748,-0.19444436473889748,-0.19444436473889748,-0.19444436473889748
