sample_group,strategy_id,ma_period,recent_high_breakout_true_fraction,prior_acceleration_true_fraction,breakout_recent_true_fraction,daily_trend_positive_true_fraction,market_supportive_true_fraction,sector_strong_true_fraction,leader_sync_true_fraction,auction_confirmed_true_fraction,volume_normal_true_fraction,not_repeated_cross_true_fraction,sector_strength_rank_mean,sector_breadth_mean,leader_relative_return_mean,vwap_deviation_mean,volume_acceleration_5_20_mean,amount_curve_surprise_mean
supplemental_2023_09_legacy,ht_r3_core_pullback,20,0.26641971790853397,0.5936743125801396,0.0,0.18948568172104288,0.41116968229092465,1.0,1.0,0.7848696395497934,1.0,0.6546516597805955,0.8390935405293696,0.7382042500734359,0.009167073989479307,1.6437370990488027,0.24479351895359372,1.2841562116671386
supplemental_2023_09_legacy,ht_r3_core_pullback,40,0.27226222053808263,0.5909435392194012,0.0,0.16350890488821523,0.4850322091701402,1.0,1.0,0.7794619173929519,1.0,0.665403561955286,0.8406269928557745,0.7584469197120011,0.010700317250713715,1.5672281511401387,0.23383312622176436,1.4256074362441316
supplemental_2023_09_legacy,ht_r3_core_pullback,60,0.2771985494106981,0.6255666364460563,0.0,0.11468721668177698,0.4759746146872167,1.0,1.0,0.778105167724388,1.0,0.6668177697189483,0.8441335161311936,0.7557745324853492,0.011613109928885028,1.5734270063880917,0.25770290011889696,1.569965197353359
supplemental_2023_09_legacy,ht_r3_core_pullback,120,0.283768115942029,0.5904347826086956,0.0,0.08695652173913043,0.46260869565217394,1.0,1.0,0.7915942028985508,1.0,0.68,0.851905266878771,0.7595034578174926,0.01325592068780746,1.6341083307602744,0.23381175480637387,1.96346220703773
supplemental_2023_09_legacy,ht_r3_core_pullback,240,0.2685308477585442,0.5810031069684864,0.0,0.20461606746560143,0.4371948513093653,1.0,1.0,0.7816245006657789,1.0,0.6626719928983578,0.8507680815822873,0.7557778247014496,0.014378705401256086,1.6600708461049465,0.23919542422740564,2.406209885213356
supplemental_2023_09_legacy,ng_r1_auction_reclaim,10,0.2559575863576738,0.6333078268473984,0.0,0.2094446873633581,1.0,0.3289243550502842,0.2744862264975951,1.0,0.5368386532575427,0.8123087013554875,0.5531430300638792,0.6840700977841848,0.001680247357112987,1.9016995467511464,0.8278408823338127,1.0034220947617847
supplemental_2023_09_legacy,ng_r1_auction_reclaim,20,0.29343876896772814,0.6336824107715324,0.0,0.1952696445109354,1.0,0.3913941725439909,0.37044952625204813,1.0,0.5320937522262592,0.8450523616157298,0.5890521044556302,0.7101733111053171,0.0033439257504038083,1.8853442067908375,1.0346576163586747,0.9625734695024974
supplemental_2023_09_legacy,ng_r1_auction_reclaim,40,0.30287682333873583,0.642726904376013,0.0,0.19448946515397084,1.0,0.41116288492706643,0.41491085899513774,1.0,0.5288695299837926,0.8574756888168558,0.6043700834090939,0.7168925529000906,0.00482324376318399,1.7298717159274248,1.1130333661813696,1.0791589126937584
supplemental_2023_09_legacy,ng_r1_auction_reclaim,60,0.30933075154302314,0.64431804429384,0.0,0.17608616725160353,1.0,0.4060268667554157,0.40905240227520273,1.0,0.5402396224131671,0.8523538666343943,0.5975668790936962,0.7136365093895732,0.005358008985505944,1.7468216575785669,1.1091490642773412,1.2299541698183996
supplemental_2023_09_legacy,ng_r1_auction_reclaim,120,0.32009221493172546,0.5483241709522965,0.0,0.14878524561092393,1.0,0.44103564461784006,0.4397942897676893,1.0,0.5293491753857067,0.8489093810959389,0.619708562753303,0.7245954815020487,0.00621946735745595,1.7758924141757189,1.044691956088299,1.5968773975144888
supplemental_2023_09_legacy,ng_r1_auction_reclaim,240,0.3118466898954704,0.5685249709639953,0.0,0.25609756097560976,1.0,0.4178281068524971,0.4454123112659698,1.0,0.5156794425087108,0.8313008130081301,0.6100712444406726,0.7230654778017352,0.00686117331415625,1.7222716267209262,1.1092850134730572,1.9962198591820477
supplemental_2023_09_legacy,ng_r3_volume_quality,10,0.22116278609720877,0.589503669561433,0.0,0.29979624537595695,0.3637118949180036,0.2252774425827382,0.1258135348459971,0.5520365571403137,1.0,1.0,0.5471330330007084,0.48261013955591,0.0013902597207795277,1.7571325228567631,0.22645219822460766,0.5517603801813017
supplemental_2023_09_legacy,ng_r3_volume_quality,20,0.22000641573994867,0.5874946535500428,0.0,0.2969685628742515,0.3671407185628742,0.24620402053036783,0.17402694610778444,0.5516467065868264,1.0,1.0,0.5528124934799178,0.48270777341568966,0.0015781129496648665,1.7237171788513077,0.24194194382951426,0.5327640810725894
supplemental_2023_09_legacy,ng_r3_volume_quality,40,0.21805844706608066,0.5691263782866837,0.0,0.3196468501812013,0.3803300177345979,0.24377361400262162,0.19068548076181663,0.5293777469349988,1.0,1.0,0.5425164886624463,0.47985592366256113,0.0020225397279847175,1.7166192162521998,0.2465707377846732,0.5704882462283787
supplemental_2023_09_legacy,ng_r3_volume_quality,60,0.2215697967796688,0.5764025872746457,0.0,0.31313362998302674,0.3789164640579843,0.2437726501215652,0.18996284233221708,0.5205284646084682,1.0,1.0,0.5357736257760717,0.47386328065228595,0.0020341387270617394,1.7231862261678605,0.24831188072277502,0.6117311937988584
supplemental_2023_09_legacy,ng_r3_volume_quality,120,0.22465248040055338,0.4733513406680282,0.0,0.3496936557085447,0.36326503722247844,0.255748072995586,0.20357072270900586,0.5315896962909282,1.0,1.0,0.5439768357759899,0.4744835954768413,0.0028094763659481403,1.695974112647844,0.24288060241631493,0.8337196180464899
supplemental_2023_09_legacy,ng_r3_volume_quality,240,0.2155940836516799,0.49250661181310607,0.0,0.38887256342442944,0.3369575864433343,0.24282495837006562,0.19561171515329612,0.5125869330982467,1.0,1.0,0.5391835037950701,0.4628956556599189,0.0032396593077911326,1.6907398165939573,0.24791931924818916,1.0771057830437043
supplemental_2023_09_legacy,s0_distance_only,10,0.12767463081249186,0.5905417233095588,0.0,0.2919514329875789,0.32149574479971693,0.1860090504478668,0.08250619192163727,0.416199556788767,0.5190133894485931,0.9969366282426116,0.5286045659205048,0.44435533149494555,-0.000144655845633433,1.7592110787582111,0.5691467684567699,1.183206763174589
supplemental_2023_09_legacy,s0_distance_only,20,0.14091521360339096,0.5894143670987754,0.0,0.28750262601796817,0.3271585867698125,0.20667070352566083,0.12781601809171908,0.4338058106054053,0.5145388712447944,0.9967746320485412,0.5346485174791029,0.4491087005647257,4.52545805598039e-05,1.748531149352617,0.6895919882571048,1.1006890297950898
supplemental_2023_09_legacy,s0_distance_only,40,0.14813507886657962,0.5806485761671195,0.0,0.30083983203359327,0.3403613394968065,0.21387487208440664,0.1453826881682487,0.42632061822929535,0.5124210452027241,0.9961537104343837,0.5304331529676828,0.4518618408954034,0.0003695972635953246,1.7395183514064667,0.7694416832016135,1.1374388260456194
supplemental_2023_09_legacy,s0_distance_only,60,0.1483537277658635,0.5837853748791052,0.0,0.29637105252092005,0.33934653715150753,0.21065136032967496,0.15033009545435433,0.4197468567343678,0.5163996467768387,0.9960472646230184,0.5260061065351398,0.44688631657684375,0.00039261776523779853,1.7186205643543004,0.7740150498450503,1.2062255512741962
supplemental_2023_09_legacy,s0_distance_only,120,0.15417198741707416,0.47494315881272,0.0,0.3424175413461239,0.3268134674681534,0.22141589061575356,0.1606191796181518,0.42613760239200177,0.5132837076027035,0.9951412464571588,0.5311431972512649,0.4461817561709798,0.0007379959600235887,1.695030003819462,0.7693023412084236,1.5266919694164265
supplemental_2023_09_legacy,s0_distance_only,240,0.1501207280832095,0.4915954680534918,0.0,0.3835902674591382,0.30948179791976227,0.2149424219910847,0.15838595839524516,0.40968610698365526,0.5091010401188707,0.9950315750371471,0.5297459953611433,0.44065489730860885,0.0009542516854390183,1.6630934020445984,0.8397224925647049,1.870508940089791
supplemental_2023_09_legacy,s0_liquidity_matched,10,0.041279409033618,0.5841364441524136,0.0,0.29281720559856933,0.3567556051211807,0.21650290213439094,0.1384483550172469,0.42034237361315496,0.5185068219248076,0.9062078431631332,0.5211352713515341,0.45856217980843034,5.1570858843620844e-05,1.7316442160628274,0.2982105432067685,1.9878754012104374
