sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_3d,2023,-0.0285183579,-0.2838841317
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_5d,2022,-0.0978489222,-0.3634179873
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,next_open_5d,2023,-0.0896276794,-0.1767059521
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,protect_3pct_target6pct_3d,2022,-0.3240308249,-0.3290870432
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,protect_3pct_target6pct_3d,2023,0.1395722245,-0.3200701259
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,momentum_trail_4pct_5d,2022,-0.1920451141,-0.2362995887
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,momentum_trail_4pct_5d,2023,0.05389515,-0.2474386352
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,2022,-0.3386130722,-0.348911015
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,2023,-0.0243366782,-0.4060978971
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_1d,2022,-0.0104667398,-0.2332565062
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_1d,2023,-0.1505816226,-0.3629682512
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_2d,2022,0.0096369975,-0.1688886052
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_2d,2023,0.1757011974,-0.1448918947
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_3d,2022,-0.1458307866,-0.2047854702
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_3d,2023,0.0875005358,-0.1289138825
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_5d,2022,-0.2380766495,-0.2628941326
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,next_open_5d,2023,-0.0051206717,-0.2513301423
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,protect_3pct_target6pct_3d,2022,-0.4304623676,-0.4307972727
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,protect_3pct_target6pct_3d,2023,-0.0454240371,-0.4603231437
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,momentum_trail_4pct_5d,2022,-0.1582056127,-0.2428128537
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,momentum_trail_4pct_5d,2023,-0.1643260502,-0.298989625
