date_idx,trade_date,candidate_count,endpoint_mean,endpoint_mean_log_return
3268,2023-06-16,1772,-0.007299597212919462,-0.011440651564748397
3269,2023-06-19,1768,-0.004262885811293191,-0.008246406550081275
3270,2023-06-20,1764,-0.008632202910779012,-0.01290148980873878
3271,2023-06-21,1763,0.01009780500690076,0.006285226619151591
3272,2023-06-26,1757,0.01918783775558766,0.015701556751583915
3273,2023-06-27,1757,0.021212773795562256,0.017873970588562188
3274,2023-06-28,1752,0.018537068002494907,0.01463861108357396
3275,2023-06-29,1746,0.007354661663881512,0.0029548940220801454
3276,2023-06-30,1747,0.005591334829549531,0.000633596232752064
3277,2023-07-03,1745,0.012193360817645353,0.007609011419037203
3278,2023-07-04,1739,0.008486626698196132,0.003720286374461608
3279,2023-07-05,1737,0.01329136884847239,0.00871669676497001
3280,2023-07-06,1733,0.01777241332639523,0.012967564189832751
3281,2023-07-07,1732,0.018071543449686794,0.013737831075598811
3282,2023-07-10,1719,0.011205852314907165,0.007323782097945127
3283,2023-07-11,1724,0.0023087699766847964,-0.001460377383186504
3284,2023-07-12,1721,0.0016300962577737534,-0.0021445705881420374
3285,2023-07-13,1722,-0.0044278390622093655,-0.008208187916113318
3286,2023-07-14,1720,-0.018527194712619665,-0.02231210178458407
3287,2023-07-17,1717,-0.016908615192317376,-0.020306278562063126
3288,2023-07-18,1717,-0.021633410707909948,-0.025348088002354722
3289,2023-07-19,1716,-0.03175800159994645,-0.03588737995128148
3290,2023-07-20,1715,-0.009495221381033255,-0.012426932796479087
3291,2023-07-21,1714,-0.02601947535265494,-0.02902859139821303
3292,2023-07-24,1715,-0.04425022448097429,-0.04775409417951224
3293,2023-07-25,1723,-0.046390234753673945,-0.05000151144784303
3294,2023-07-26,1725,-0.05678601368323671,-0.061266614916422164
3295,2023-07-27,1725,-0.047377493023312234,-0.051157429154986736
3296,2023-07-28,1724,-0.07663159895183334,-0.08232849134688815
3297,2023-07-31,1728,-0.07298337545683319,-0.07858534576092209
3298,2023-08-01,1725,-0.047281692264326575,-0.05122353706056339
3299,2023-08-02,1724,-0.04410617744462223,-0.04778407203224732
3300,2023-08-03,1729,-0.05870802233440957,-0.06357916076651723
3301,2023-08-04,1734,-0.05225184871075297,-0.056322598323296134
3302,2023-08-07,1735,-0.03327667939188818,-0.03638788161666701
3303,2023-08-08,1737,-0.03565180882392398,-0.03866587147370817
3304,2023-08-09,1733,-0.027894354463073,-0.03077036524784236
3305,2023-08-10,1733,-0.04628119220315734,-0.04998563274643878
3306,2023-08-11,1736,-0.019574068034709374,-0.022522274828789147
3307,2023-08-14,1741,-0.019550446250046257,-0.022323343233605922
3308,2023-08-15,1744,-0.011353820139672923,-0.01398947480041492
3309,2023-08-16,1745,-0.012604567734441215,-0.01550968228913578
3310,2023-08-17,1742,-0.028981995251968068,-0.03214935540689634
3311,2023-08-18,1740,-0.008557641286427695,-0.011290493673011798
3312,2023-08-21,1722,-8.149575858520782e-05,-0.002685118443339809
3313,2023-08-22,1729,-0.006771389935397262,-0.009685762643290992
3314,2023-08-23,1729,-0.0006753099745825179,-0.0034073656941850153
