top_k,slot_count,policy_name,mean_year_rank,worst_year_rank,positive_year_count,worst_year_return,mean_year_return,annualized_log_growth,signal_period_total_return,signal_period_maximum_drawdown
2,12,fixed_d13,400.5,620.0,6,0.05232861033307601,0.3709693027779755,0.2946908614594511,4.482103635961808,-0.24366683737595607
2,12,fixed_d11,421.6666666666667,682.0,6,0.019539060266030583,0.3718911112339358,0.2921744156490434,4.403027386936289,-0.23282528822259996
2,6,fixed_d6,383.5,773.0,6,0.04689441515271042,0.36317216146036513,0.29091530621102424,4.363890576608991,-0.30552487100100567
2,12,fixed_d29,390.3333333333333,705.0,6,0.013849300816717758,0.35146515618864305,0.2896145521629129,4.32375701275035,-0.3065820119391167
2,12,fixed_d17,396.3333333333333,667.0,6,0.02226682560117932,0.34622052930458985,0.2876802272964304,4.264629833968945,-0.3062089477918535
3,12,model_plan,366.5,478.0,6,0.04629832068286377,0.33346606585467,0.2854501233744255,4.197275993418473,-0.32525660518292376
1,3,fixed_d34,424.1666666666667,739.0,6,0.016017400532054582,0.3735527670603223,0.28343007333000964,4.137010300936995,-0.4122012084460228
3,6,fixed_d33,417.1666666666667,677.0,6,0.020718278211403707,0.33143772881767025,0.2822457813834816,4.102003882048927,-0.3966992988630561
1,6,fixed_d34,429.3333333333333,780.0,6,0.016683622853815194,0.3333569498133658,0.27607875133378346,3.9235318259353598,-0.36369202879031703
2,12,fixed_d33,386.8333333333333,713.0,6,0.013525539817879517,0.32070167322272264,0.2756656753890846,3.9118030872900773,-0.37309963111623823
3,24,fixed_d19,410.3333333333333,640.0,6,0.030227487580036128,0.3247093920150091,0.27417121055003113,3.869602670638276,-0.2927886352338902
3,24,fixed_d55,382.5,523.0,6,0.003549503857840808,0.317024525958196,0.2721603369557043,3.8133915784918146,-0.311645189280227
3,12,fixed_d22,427.3333333333333,688.0,6,0.018533829382869627,0.3099832887512607,0.27118457355144143,3.786349792783742,-0.34872273830371814
3,3,fixed_d22,427.3333333333333,1014.0,6,0.01500531665088567,0.35446353702304245,0.27054131501859763,3.768606010662727,-0.4097665373865266
2,12,rolling_path,407.8333333333333,668.0,6,0.02537324835446264,0.3228753411132638,0.26854031018319136,3.713829337190753,-0.2611675639810388
3,6,fixed_d50,405.3333333333333,680.0,6,0.01042050645064485,0.31202891540745675,0.2668116066871065,3.6670136686608146,-0.3811520936724414
2,12,fixed_d54,427.5,672.0,6,0.009697614735032944,0.3009717027877495,0.26675651250626514,3.665529312285293,-0.34480125810578965
3,24,fixed_d34,465.6666666666667,645.0,6,0.007226132735410173,0.303021626254891,0.25269742890746505,3.3017711002085077,-0.28436434660858667
3,12,fixed_d9,480.5,745.0,6,0.005981119856246053,0.30750061902361675,0.2518360585659584,3.280429835416866,-0.3013229720885623
1,6,fixed_d58,446.8333333333333,797.0,6,0.08152358997179832,0.2803629157940351,0.25128133163945837,3.266742031675662,-0.38623975501011965
3,24,fixed_d21,450.3333333333333,703.0,6,0.014043739890315932,0.28811477638832056,0.2500578014187752,3.2367061475056413,-0.29355570334022385
3,24,fixed_d18,449.1666666666667,623.0,6,0.051925969340351985,0.2868789223294042,0.24860903116932917,3.2014142376910035,-0.3020814449248197
3,12,fixed_d47,411.6666666666667,795.0,6,0.04221486290052523,0.2778254140455136,0.24762784721996697,3.1776798082807067,-0.34040760844857565
3,12,fixed_d6,446.5,819.0,6,0.09856886896568873,0.2829646237874154,0.24485760492783704,3.1113900019100464,-0.28173747238028213
3,24,fixed_d17,466.3333333333333,650.0,6,0.030760807076659846,0.2777393749916336,0.24101065445396616,3.021076335833863,-0.2885444368721478
1,3,fixed_d28,419.3333333333333,796.0,6,0.024965699475229863,0.2714351463656394,0.2398685754612397,2.9946480010469565,-0.35100976262543426
3,24,model_plan,437.0,714.0,6,0.037640997220825145,0.2730057827322074,0.23741714396867647,2.9385056194587986,-0.2924069070961436
3,24,fixed_d14,435.0,750.0,6,0.03193198471416747,0.27455513048143715,0.23615361686750638,2.9098773380077776,-0.2349324082803601
3,24,fixed_d15,441.0,739.0,6,0.037938084013747764,0.27067283065023934,0.23426329958077777,2.8674356713766334,-0.2600239832738982
3,24,fixed_d16,480.8333333333333,690.0,6,0.009758382297922363,0.27024026668623813,0.23179973823303465,2.812814141183301,-0.27427839392382003
3,24,rolling_path,471.6666666666667,801.0,6,0.06432822040220953,0.2771550398374924,0.23165264569122357,2.809577352594181,-0.26052731639730486
3,12,fixed_d5,482.8333333333333,658.0,6,0.04318286773905866,0.2605529554911053,0.227654322522432,2.7226385165802043,-0.255905250189458
2,24,fixed_d20,495.5,816.0,6,0.03604867044420712,0.249029536802336,0.21893032846933747,2.5397709284233616,-0.21379100321079814
2,4,fixed_d60,521.5,1014.0,6,0.004239020410626404,0.25017198417929465,0.2187874768643275,2.5368525362989662,-0.4377635307282607
2,24,fixed_d21,492.0,783.0,6,0.04967453514825815,0.2448418700084375,0.217108650001977,2.502734646827624,-0.2122467816759407
3,24,fixed_d12,483.0,780.0,6,0.017989313937275764,0.247480459007602,0.21541937328338395,2.4687365779200987,-0.19432934784787093
1,6,fixed_d54,499.1666666666667,792.0,6,0.03056247273201551,0.23374680680636165,0.21365517954534757,2.433582959140147,-0.390320430681409
3,24,fixed_d13,499.1666666666667,787.0,6,0.013904689398742454,0.2470744314499883,0.21351493042403394,2.4308036662360997,-0.22433880209864376
2,24,fixed_d18,486.5,811.0,6,0.05010643812139226,0.23985025141813718,0.21270478096658904,2.414793047305916,-0.20357896994892655
2,24,fixed_d22,506.5,847.0,6,0.04670999725105962,0.23847055030072206,0.2116739678726072,2.3945295217073777,-0.21959281817287113
2,24,fixed_d14,481.0,843.0,6,0.018313087819383123,0.23656056903657097,0.20979046866068904,2.3578141307850187,-0.15777882943728072
2,24,fixed_d19,505.3333333333333,866.0,6,0.06030099695710023,0.2328318434561578,0.20855624307883566,2.3339707883198244,-0.20300996450256825
2,24,fixed_d17,504.1666666666667,794.0,6,0.050481802712961876,0.23353059204240523,0.20795275666725568,2.3223740641625215,-0.201085048742507
2,24,fixed_d15,514.6666666666666,777.0,6,0.0003635392586878172,0.21995268460650677,0.19663736017323788,2.1122522583279917,-0.1756486896723769
3,24,fixed_d11,545.0,765.0,6,0.027837814367322355,0.21581149635037777,0.19161383441456242,2.0232783290530802,-0.21049706090740938
2,24,model_plan,515.8333333333334,863.0,6,0.015687774537124888,0.20953732502729583,0.1903229935508766,2.0008293869136233,-0.24377672956410879
