event,period,horizon,mean_excess_vs_date_universe,hac_se_excess_date_mean,hac_lcb_excess_date_mean
minute_intraday_fade,development_2012_2020,10,-0.004151969836688071,0.0008668052463052893,-0.007271648453125256
minute_intraday_fade,development_2012_2020,20,-0.00830032954252985,0.001189466166492794,-0.012631582755190425
minute_intraday_fade,validation_2021_2022,1,,,
minute_intraday_fade,validation_2021_2022,3,0.0019993594280475814,0.0005668001304471561,0.0003976113645579285
minute_intraday_fade,validation_2021_2022,5,0.0014761317828162171,0.000979589762360554,-0.0015511540630256848
minute_intraday_fade,validation_2021_2022,10,0.0007911196025559847,0.0016519759573268233,-0.004023695007634439
minute_intraday_fade,validation_2021_2022,20,-0.0024447277584022037,0.002359910289224748,-0.009308953834892513
minute_intraday_fade,oos_2023_2025,1,,,
minute_intraday_fade,oos_2023_2025,3,0.0006415975489001279,0.0006053592048311446,-0.001440791239376901
minute_intraday_fade,oos_2023_2025,5,-0.0011947184154346713,0.0008524806334910119,-0.003655512766604296
minute_intraday_fade,oos_2023_2025,10,-0.0050116932281512715,0.0014385682391174189,-0.008329868955964437
minute_intraday_fade,oos_2023_2025,20,-0.008130233664917294,0.0024026031790361215,-0.01333317557639608
hot_confirmed,development_2012_2020,1,,,
hot_confirmed,development_2012_2020,3,-0.0017747904924398396,0.000920559816596066,-0.004017901461949493
hot_confirmed,development_2012_2020,5,-0.0056674013219631504,0.0012440764406830191,-0.010058420993104724
hot_confirmed,development_2012_2020,10,-0.008880026626490088,0.0018330286054722847,-0.015932399105896854
hot_confirmed,development_2012_2020,20,-0.013044562553091308,0.0026530815291219514,-0.023683448094475857
hot_confirmed,validation_2021_2022,1,,,
hot_confirmed,validation_2021_2022,3,-0.0016935495358321117,0.0016537743823788749,-0.005522868285329757
hot_confirmed,validation_2021_2022,5,-0.003116365247265739,0.0020680120095271765,-0.007387880363559218
hot_confirmed,validation_2021_2022,10,-0.004938828746180205,0.0029260127965882055,-0.011462269479438264
hot_confirmed,validation_2021_2022,20,-0.008270610697842101,0.004669982575103789,-0.015607638573363801
hot_confirmed,oos_2023_2025,1,,,
hot_confirmed,oos_2023_2025,3,-0.0033319039296459793,0.001527552009552979,-0.0050433893346013454
hot_confirmed,oos_2023_2025,5,-0.006478749802361919,0.0020583386286814544,-0.00909507039523276
hot_confirmed,oos_2023_2025,10,-0.011133012024085997,0.003245304605565622,-0.016728507266749564
hot_confirmed,oos_2023_2025,20,-0.01936675362827841,0.00467498851441061,-0.020295664078410564
breakout_confirmed_intraday,development_2012_2020,1,,,
breakout_confirmed_intraday,development_2012_2020,3,-0.0025773647322268494,0.0010917488455680932,-0.004727130703893308
breakout_confirmed_intraday,development_2012_2020,5,-0.0064657862705009206,0.0015741648096245968,-0.010346631006564511
breakout_confirmed_intraday,development_2012_2020,10,-0.010596016268075064,0.0021872811953984306,-0.017228493096997175
breakout_confirmed_intraday,development_2012_2020,20,-0.015310554353548576,0.003070563108839175,-0.025776594786927214
breakout_confirmed_intraday,validation_2021_2022,1,,,
breakout_confirmed_intraday,validation_2021_2022,3,-0.0016230748021302662,0.0027328893966645346,-0.0077141513003395265
breakout_confirmed_intraday,validation_2021_2022,5,-0.0025426960092053566,0.0033236688257363895,-0.01007807573839112
breakout_confirmed_intraday,validation_2021_2022,10,-0.0041369174112194694,0.0047871797200217696,-0.01588715358414928
breakout_confirmed_intraday,validation_2021_2022,20,-0.007556350664951977,0.007020446245681051,-0.020337281375396397
breakout_confirmed_intraday,oos_2023_2025,1,,,
breakout_confirmed_intraday,oos_2023_2025,3,-0.003859144298204996,0.0021197385748723896,-0.007467504901447801
breakout_confirmed_intraday,oos_2023_2025,5,-0.007910602895430403,0.0023417338614991094,-0.012694218864252937
breakout_confirmed_intraday,oos_2023_2025,10,-0.013785513571715823,0.004140365686640882,-0.02183742618239274
