event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
breakout20,2016,development_2012_2020,up5_before_down3,23280,244,0.39012027491408935,0.429541429664865,0.013772410062921039,0.40254750594153976,3.0,6.0
breakout20,2016,development_2012_2020,up10_before_down5,23280,244,0.3122852233676976,0.3582542470236424,0.016453141282191146,0.32600609011054776,3.0,6.0
breakout60,2016,development_2012_2020,up5_before_down3,10886,244,0.429083226162043,0.47254056292417757,0.016541727181994342,0.44011877764746865,2.0,3.0
breakout60,2016,development_2012_2020,up10_before_down5,10886,244,0.35880948006614,0.4143183810564041,0.018770373194802844,0.37752844959459053,2.0,3.0
breakout_confirmed,2016,development_2012_2020,up5_before_down3,10574,243,0.340646869680348,0.35318180055610743,0.015879175256458915,0.32205861705344796,4.0,7.0
breakout_confirmed,2016,development_2012_2020,up10_before_down5,10574,243,0.26461131076224703,0.2774163403079391,0.015186831816581328,0.2476501499474397,4.0,7.0
retest20,2016,development_2012_2020,up5_before_down3,894,168,0.3389261744966443,0.38782056585152075,0.03365721396029451,0.32185242648934353,5.0,8.0
retest20,2016,development_2012_2020,up10_before_down5,894,168,0.25615212527964204,0.2773520323171004,0.02747073552688696,0.22350939068440198,5.0,8.0
rebreakout20,2016,development_2012_2020,up5_before_down3,361,133,0.3656509695290859,0.386529635777756,0.032509477550110716,0.322811059779539,4.0,6.0
rebreakout20,2016,development_2012_2020,up10_before_down5,361,133,0.28254847645429365,0.29706734368388504,0.029117349225067948,0.23999733920275187,4.0,6.0
climax_fade,2016,development_2012_2020,up5_before_down3,203,120,0.39901477832512317,0.4318253968253968,0.04069822724203896,0.3520568714310004,3.0,4.0
climax_fade,2016,development_2012_2020,up10_before_down5,203,120,0.3103448275862069,0.3527777777777778,0.035288176618076504,0.28361295160634786,3.0,4.0
participation_shock,2017,development_2012_2020,up5_before_down3,69549,244,0.3649081942227782,0.3653088064490179,0.015826735506061423,0.3342884048571375,4.0,7.0
participation_shock,2017,development_2012_2020,up10_before_down5,69549,244,0.24828538152956908,0.252013576255831,0.013397592076270868,0.2257542957863401,4.0,7.0
positive_participation_shock,2017,development_2012_2020,up5_before_down3,20572,244,0.349941668286992,0.3579451317115326,0.013925089205560917,0.3306519568686332,4.0,8.0
positive_participation_shock,2017,development_2012_2020,up10_before_down5,20572,244,0.24465292630760258,0.2481558161326026,0.013832391851531785,0.2210443281036003,4.0,8.0
range_expansion,2017,development_2012_2020,up5_before_down3,39134,244,0.3642101497419124,0.363107075126346,0.016778304388589287,0.330221598524711,5.0,9.0
range_expansion,2017,development_2012_2020,up10_before_down5,39134,244,0.24117135994276076,0.2408376509709229,0.013771277987847106,0.21384594611474259,5.0,9.0
