rank,symbol,name,day,open_return,high_return,low_return,close_return
2,603121.SH,华培动力,8,0.4708978831768036,0.4737525582313537,0.3558620512485504,0.4394696950912475
2,603121.SH,华培动力,9,0.4253575503826141,0.468601793050766,0.4170206487178802,0.4647109508514404
2,603121.SH,华培动力,10,0.4716718196868896,0.4808331429958343,0.4495696127414703,0.4790322780609131
2,603121.SH,华培动力,11,0.4690594971179962,0.4975005388259887,0.4164609014987945,0.4928893446922302
2,603121.SH,华培动力,12,0.5203578472137451,0.5228164196014404,0.4811797142028808,0.5053151249885559
2,603121.SH,华培动力,13,0.5089427828788757,0.5251911282539368,0.4888942241668701,0.517999529838562
2,603121.SH,华培动力,14,0.5262258648872375,0.5358633399009705,0.4913865029811859,0.5225973129272461
2,603121.SH,华培动力,15,0.5317944288253784,0.5428063273429871,0.4919909536838531,0.5268417596817017
2,603121.SH,华培动力,16,0.5241125822067261,0.541068434715271,0.4950167238712311,0.5310053825378418
2,603121.SH,华培动力,17,0.5284480452537537,0.5413497686386108,0.4965573847293854,0.5305951237678528
2,603121.SH,华培动力,18,0.5394648909568787,0.5538435578346252,0.5013809204101562,0.5313540101051331
2,603121.SH,华培动力,19,0.5371711850166321,0.5549638867378235,0.5058172941207886,0.5341777205467224
2,603121.SH,华培动力,20,0.5275910496711731,0.5524053573608398,0.4962223172187805,0.534903347492218
2,603121.SH,华培动力,21,0.5292230844497681,0.5468395948410034,0.4988625049591064,0.5330778956413269
2,603121.SH,华培动力,22,0.5291851758956909,0.5492913722991943,0.4987172186374664,0.5321455001831055
2,603121.SH,华培动力,23,0.5325430035591125,0.5514827966690063,0.5009236931800842,0.5323909521102905
2,603121.SH,华培动力,24,0.5283017754554749,0.551804780960083,0.498653769493103,0.5323296189308167
2,603121.SH,华培动力,25,0.5256577730178833,0.5486481189727783,0.4968943297863006,0.5309277176856995
2,603121.SH,华培动力,26,0.524006187915802,0.5463995337486267,0.4931520223617553,0.5288680791854858
2,603121.SH,华培动力,27,0.5260814428329468,0.5461211800575256,0.4945207834243774,0.527557909488678
2,603121.SH,华培动力,28,0.5255110263824463,0.5468069314956665,0.4957585334777832,0.5271063446998596
2,603121.SH,华培动力,29,0.5216115713119507,0.5458410978317261,0.4926670491695404,0.5261165499687195
2,603121.SH,华培动力,30,0.5223053097724915,0.5427066087722778,0.4914856255054474,0.5238043069839478
2,603121.SH,华培动力,31,0.5171695351600647,0.539364218711853,0.4857932329177856,0.5207793712615967
2,603121.SH,华培动力,32,0.5277036428451538,0.5468322038650513,0.4890270531177521,0.5198517441749573
2,603121.SH,华培动力,33,0.5175576210021973,0.5393860936164856,0.4898043274879455,0.5188954472541809
