date_idx,trade_date,year,universe_count,is_st_count,calculated_st_rate,feature_st_rate,feature_error,one_day_change
2185,2018-12-27,2018,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,0.0
2186,2018-12-28,2018,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,5.124736076091152e-06
2187,2019-01-02,2019,2828,41,0.014497878359264497,0.014497878029942513,-3.2932198461288475e-10,0.0
2188,2019-01-03,2019,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,-5.124736076091152e-06
2189,2019-01-04,2019,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,0.0
2190,2019-01-07,2019,2829,41,0.014492753623188406,0.014492753893136978,2.6994857217632617e-10,0.0
2191,2019-01-08,2019,2830,41,0.014487632508833921,0.014487632550299168,4.146524616721603e-11,-5.121114354484507e-06
2192,2019-01-09,2019,2830,41,0.014487632508833921,0.014487632550299168,4.146524616721603e-11,0.0
2193,2019-01-10,2019,2830,41,0.014487632508833921,0.014487632550299168,4.146524616721603e-11,0.0
2194,2019-01-11,2019,2831,41,0.014482515012363122,0.014482514932751656,-7.961146672452735e-11,-5.117496470799163e-06
2195,2019-01-14,2019,2831,41,0.014482515012363122,0.014482514932751656,-7.961146672452735e-11,0.0
2196,2019-01-15,2019,2831,42,0.014835747085835394,0.014835746958851814,-1.2698357990115205e-10,0.00035323207347227187
2197,2019-01-16,2019,2833,42,0.014825273561595482,0.014825273305177689,-2.564177932484757e-10,-1.0473524239912324e-05
2198,2019-01-17,2019,2835,42,0.014814814814814815,0.014814814552664757,-2.6215005860530383e-10,-1.0458746780666467e-05
2199,2019-01-18,2019,2836,42,0.014809590973201692,0.014809590764343739,-2.088579535014512e-10,-5.223841613123323e-06
2200,2019-01-21,2019,2837,42,0.014804370814240395,0.014804370701313019,-1.1292737578383338e-10,-5.220158961297475e-06
2201,2019-01-22,2019,2838,42,0.014799154334038054,0.014799154363572598,2.953454321386051e-11,-5.216480202340293e-06
2202,2019-01-23,2019,2839,43,0.01514617823177175,0.01514617819339037,-3.838138140643821e-11,0.00034702389773369653
2203,2019-01-24,2019,2839,43,0.01514617823177175,0.01514617819339037,-3.838138140643821e-11,0.0
2204,2019-01-25,2019,2840,43,0.015140845070422536,0.015140845440328121,3.699055853290112e-10,-5.3331613492149654e-06
