profile,policy,slot_count,cost_scenario,symbol,signal_date,entry_date,exit_date,signal_date_idx,entry_date_idx,exit_date_idx,entry_price_raw,exit_price_raw,shares,buy_cash_cny,sell_proceeds_cny,net_pnl_cny,net_return_on_buy_cash,occupied_sessions,requested_exit_date,exit_reason
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000809.SZ,2024-03-25,2024-03-26,2024-04-17,3454,3455,3469,2.119999885559082,1.4900000095367432,2476000,5258097.989477706,3681090.986758978,-1577007.002718728,-0.29991966788648117,15,2024-04-16,deferred_sellable_close
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000504.SZ,2024-04-17,2024-04-18,2024-05-10,3469,3470,3483,6.579999923706055,10.229999542236328,558500,3681215.68253657,5700834.48841168,2019618.80587511,0.5486282196004002,14,2024-05-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002141.SZ,2024-05-10,2024-05-13,2024-05-30,3483,3484,3497,0.8199999928474426,1.1399999856948853,6941700,5701930.072416364,7896057.955889622,2194127.8834732575,0.3848044180842487,14,2024-05-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600234.SH,2024-05-30,2024-05-31,2024-06-20,3497,3498,3511,2.069999933242798,2.3399999141693115,3807800,7895627.635878501,8890570.121201588,994942.4853230864,0.12601182973750813,14,2024-06-20,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603879.SH,2024-06-20,2024-06-21,2024-07-10,3511,3512,3525,2.1700000762939453,2.2300000190734863,4090200,8890915.669799807,9100998.688561615,210083.01876180805,0.023628951905978246,14,2024-07-10,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,002289.SZ,2024-07-10,2024-07-11,2024-07-30,3525,3526,3539,2.5899999141693115,2.75,3507800,9100741.336805807,9625142.2845743,524400.9477684926,0.05762178358456094,14,2024-07-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603879.SH,2024-07-30,2024-07-31,2024-08-19,3539,3540,3553,2.569999933242798,2.740000009536743,3738800,9625150.824524008,10221683.723107025,596532.8985830173,0.061976472832312,14,2024-08-19,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,603879.SH,2024-08-19,2024-08-20,2024-09-06,3553,3554,3567,2.700000047683716,2.630000114440918,3779400,10221834.099025005,9917866.69670078,-303967.40232422575,-0.02973707060587294,14,2024-09-06,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,600719.SH,2024-09-06,2024-09-09,2024-09-30,3567,3568,3581,4.789999961853027,7.070000171661377,2066800,9916905.169730831,14579999.794367034,4663094.624636203,0.47021672032009265,14,2024-09-30,time_exit
structured_joint_turnover_180x35_v2_top1,fixed_d14,1,double_slippage,000908.SZ,2024-09-30,2024-10-08,2024-10-25,3581,3582,3595,3.240000009536743,4.920000076293945,4492900,14581894.823817188,22056241.208891023,7474346.385073835,0.51257717020875,14,2024-10-25,time_exit
